@relation wekaa30

@attribute Number1 numeric
@attribute Number2 numeric
@attribute Number3 numeric
@attribute Number4 numeric
@attribute Number5 numeric
@attribute Number6 numeric
@attribute Number7 numeric
@attribute Number8 numeric
@attribute Number9 numeric
@attribute Number10 numeric
@attribute Number11 numeric
@attribute Number12 numeric
@attribute Number13 numeric
@attribute Number14 numeric
@attribute Number15 numeric
@attribute Number16 numeric
@attribute Number17 numeric
@attribute Number18 numeric
@attribute Number19 numeric
@attribute Number20 numeric
@attribute Number21 numeric
@attribute Number22 numeric
@attribute Number23 numeric
@attribute Number24 numeric
@attribute Number25 numeric
@attribute Number26 numeric
@attribute Number27 numeric
@attribute Number28 numeric
@attribute Number29 numeric
@attribute Number30 numeric
@attribute Number31 numeric
@attribute Number32 numeric
@attribute Number33 numeric
@attribute Number34 numeric
@attribute Number35 numeric
@attribute Number36 numeric
@attribute Number37 numeric
@attribute Number38 numeric
@attribute Number39 numeric
@attribute Number40 numeric
@attribute Number41 numeric
@attribute Number42 numeric
@attribute Number43 numeric
@attribute Number44 numeric
@attribute Number45 numeric
@attribute Number46 numeric
@attribute Number47 numeric
@attribute Number48 numeric
@attribute Number49 numeric
@attribute Number50 numeric
@attribute Number51 numeric
@attribute Number52 numeric
@attribute Number53 numeric
@attribute Number54 numeric
@attribute Number55 numeric
@attribute Number56 numeric
@attribute Number57 numeric
@attribute Number58 numeric
@attribute Number59 numeric
@attribute Number60 numeric
@attribute class numeric
@data
-0.3313783,-0.47283357,-0.58026665,0.4351383,-1.1060649,-0.08758626,-0.17846511,0.4084183,0.42544863,0.89509493,0.5534,-0.7386588000000001,-0.4428182,-0.37517887,-0.53213394,-0.53493404,-0.19025306,-0.35414746,-0.3668645,0.39147583,-0.28340727,0.51183164,-0.5903683000000001,-0.47214988,-0.4934946,-0.46954674,-0.19746597,0.09723257,0.011818724,0.42224705,0.014417712,0.7864519,-0.10645809,-0.11499399,-0.9175873999999999,0.65641344,1.0216714,1.276171,-1.6873311999999998,1.3998628999999998,-0.07399253,-1.5243312,0.9452681999999999,-0.6852579000000001,0.15264598,-0.41132054,-1.2525008999999998,0.74540025,-0.05578869,0.1159172,0.13914193,0.4531531,0.19328552,-0.4717312,0.67232215,1.2563858,-1.6915663,0.54771954,1.2895317,1.7307762999999998,0
-0.45663992,0.046596202999999996,-0.35768533,1.1158944,-0.015130157,0.34787893,0.53181285,-0.46870209999999995,0.032325774,0.3181615,0.8534806999999999,-0.84953195,-0.07698388,0.97625583,0.1740148,-0.07402259,0.26260522,0.45623514,0.12861021,0.25675002,0.5703535,0.25764912,-0.11584366,0.0028341962,-0.04789987,-0.28629747,-0.68102306,-0.0079732165,0.42144072,0.16428395,-0.010229659,-0.65151286,0.33523600000000003,2.5672197,-0.6726075,0.59173805,-0.41865185,-1.3254409,0.04819646,-0.30720004,-1.3950979,0.45549592,-0.58325034,-0.77935266,0.11002842,0.49418032,-0.53750867,0.8926813,0.32991508,0.6675366,-1.118158,0.7029514,0.28274527,-1.0646235000000002,1.0857202,-0.7416874,-1.1601937,0.52302194,1.0161607,0.8788275999999999,0
0.61446923,-0.6600334,-1.1288103999999999,0.8331885,-0.49196047,0.03483664,-0.4584654,0.8929348,-0.23498799,0.07117283,0.038523983,-0.8767654,-0.6466393,-0.94353133,-0.52800643,-0.23480171,-0.25692692,1.3254453000000002,0.035525147,-0.46746534,0.22589593,-0.27234122,0.9046308000000001,-0.35830167,-0.29380290000000003,0.10401124,-0.081679605,0.40026385,0.3090589,-0.1555672,-0.7209616,-0.5364184000000001,-0.7421395000000001,1.7795308999999997,-0.46086624,0.6567485,-0.8908617,-0.065905936,0.16903012,0.76574945,-1.5427294,-0.19681166,-0.9554741,0.45489300000000005,-1.4552912,0.15420485,-0.5203007000000001,-0.8512848,-0.124372296,-0.14197892,0.6903243,0.31969824,0.45781857,-1.0399863999999999,0.9938883,-1.2684243,-0.7093038,0.7271849,1.3479812,1.0698383999999999,0
-0.5085236,-0.18386813,-0.47079217,0.511795,-0.9702516,-0.109469764,-0.15449017,0.5858031,0.21605304,0.9393611999999999,0.23974720000000002,-0.8070052,-0.49671966,-0.3346261,-0.42861933,-0.6454201,-0.13557994,-0.33577237,-0.29997873,0.30766570000000004,-0.48848182,0.70619357,-0.5717621999999999,-0.59135365,-0.49939546,-0.27192762,-0.45023343,0.079834305,0.060370397,0.38514972,-0.9554684999999999,-0.22302653,0.46345666,0.6066205,-1.2144656999999999,0.95084405,-0.27798954,-1.1504153999999998,0.20922051,0.9880754999999999,-0.65381634,-0.43953964,1.0852909,-0.44327143,-0.41640237,-0.27944034,0.908444,1.5461365,1.3541011,0.25150046,-0.29826197,-2.8771427000000003,0.46785575,0.08690435,-0.51993847,0.31742459999999995,-1.0134353999999999,1.6370621,-0.4296592000000001,2.5796769,0
-0.37575594,-0.18648657,-0.21293364,1.057419,0.078945234,0.32453182,0.55945665,-0.44542614,0.14858542,0.26316490000000003,0.80307525,-0.6324663,0.1486776,0.6898911,0.20371683,-0.039901905,0.2815225,0.49138308,0.25425538,0.14060172,0.36208084,0.14039806,-0.0585427,0.039774194,-0.33432436,-0.41410542,-0.6285765,0.034696597999999995,0.38452420000000004,0.1013313,-0.46574506,-0.119342856,-0.60971296,-0.09074813,-1.0522776000000003,-0.20326042,0.2397172,-0.091792315,0.10087597,0.49855995,-0.31867713,-0.36678204,-0.4460969,-0.27668437,0.027980502999999997,0.120883875,0.08166867,-0.076527156,0.44388464,-0.6689694,-0.93331814,0.17414692,0.52901435,-0.6321954000000001,-0.669081,-0.6828624,-0.39963582,-0.016405145,0.54697645,-0.10987865,0
-0.44745740000000006,-0.10421654,-0.30981466,0.59962887,-1.0689346000000002,-0.21893501,-0.014770603,0.60186785,0.33560035,1.0968388,0.26622358,-0.61706966,-0.3695117,-0.03237414,-0.45438809999999996,-0.51621056,-0.10615358,-0.25177458,-0.5059265000000001,0.24792281,-0.43185562,0.34410828,-0.7171274000000001,-0.48150367,-0.42144352,-0.08920561,-0.31418675,0.20405212,0.09922497,0.5225385,-0.32211196,-0.22391953,-0.5448408,0.45363593,-0.9794299999999999,-0.22083473,-0.09484694,0.30376494,0.21966644,0.6910999,0.39110887,-0.61902386,-0.52182186,-0.24125149999999998,-0.36002280000000003,-0.46212074,-0.050940677999999996,-0.33554146,-0.32287526,0.2560093,-0.33557865,0.42697266,-0.57722616,-0.46362266,-0.56703526,-0.3207874,-0.23467689999999997,0.07108108,0.24061067,0.30989602,1
0.71177185,0.15279132,0.24598126,1.1173681999999998,-0.5468930000000001,0.09912707,-0.77422416,0.31530866,0.7239091,0.68912053,0.08275542,0.14897925,0.0073315017000000005,-0.7664449000000001,-0.2562153,-0.34183025,0.58825105,0.25791916,0.7472619,0.28122783,-0.13250661,0.46927917,0.47963774,-0.5219659999999999,-0.3634883,0.19590352,-0.11755814,-0.5485854,1.5854757,0.94219345,0.6241838000000001,0.19938114,0.22738865,1.0824573,-0.5228647,0.075584166,-0.56798965,0.20430320000000002,0.58993095,0.60495114,0.24036910000000003,0.040257137,-0.10152775,-0.63715696,-0.09270297,-0.0993778,0.5285930999999999,0.09322852,0.5706621999999999,0.11019952599999999,-0.043624297,0.4374348,0.6335472,-0.22752208,-0.30819163,0.31119847,-0.36096558,-0.2568655,1.4403741,0.7812920999999999,1
0.23923844,-0.56984675,-0.78029853,0.16364561,-0.26774386,0.03882967,-0.057536095,-0.23662767,0.20284998,0.42620003,-0.0007614587700000001,-0.31623638,0.45997596,0.19056281,0.48347357,-0.47590274,1.1685674,0.35004193,0.6488995,-0.5883331999999999,0.059318524000000004,0.35114145,-0.75213844,-0.35682288,0.39692408,0.27700517,0.6895711999999999,-0.5143002000000001,1.6802264,0.057229972999999996,-0.2488553,-0.15312476,-0.9249521,1.5264406000000001,-0.97144115,0.5064933,0.34818375,-1.8163755000000001,-0.9292604,1.1348855,-0.2117734,-2.2765517,-1.8475703,0.77448475,0.64668226,-1.1631519,0.6782556,-1.2131113000000002,0.17803551,0.4275932,-0.31202906,-1.7399793000000001,-0.8594703000000001,0.37473348,1.0120076999999998,-1.5969211,-1.4152733,-0.29617146,-0.09474413,1.3234593000000001,0
-0.42638615,-0.09035338,-0.5015725000000001,0.7481941,-1.2307389,-0.34513983,-0.08858888599999999,0.4753340999999999,0.22755729,0.9104148999999999,0.41562256,-0.5419441999999999,-0.61753297,-0.31850300000000004,-0.29840603,-0.3438722,-0.036752477,-0.45668972,-0.37865704,0.40300167,-0.5174539,0.54027927,-0.7148715999999999,-0.31597972,-0.55332106,-0.28094798,-0.30538255,0.26163155,0.20427342,0.50994736,-0.32211196,-0.22391953,-0.5448408,0.45363593,-0.9794299999999999,-0.22083473,-0.09484694,0.30376494,0.21966644,0.6910999,0.39110887,-0.61902386,-0.52182186,-0.24125149999999998,-0.36002280000000003,-0.46212074,-0.050940677999999996,-0.33554146,-0.32287526,0.2560093,-0.33557865,0.42697266,-0.57722616,-0.46362266,-0.56703526,-0.3207874,-0.23467689999999997,0.07108108,0.24061067,0.30989602,1
0.18438743,-0.6267795999999999,-1.5991483,0.8603265,-0.63749176,0.22756742,-0.05296334,-0.030790163,0.29321215,0.37578648,-0.23807594,-0.4241428,-0.48764880000000005,0.76610994,0.07342043,-0.43609297,-0.35412624,0.52406436,1.1654651000000003,0.23373812,-1.1308508,-0.16335292,0.5718013000000001,-0.7920246999999999,-0.82788694,-0.30900362,-0.35263804,-0.89482856,-0.100443915,-0.046408854000000006,-0.46964620000000007,0.5289699999999999,-0.19570072,-0.34540465,0.006255103000000001,0.18770285,-0.4567708,-0.43645832,0.81293243,0.22340505,-0.15145738,-0.9315529,0.28006586,0.5608105999999999,-0.05897269,-0.7546334,0.13532281,0.20872110000000002,0.3822152,0.4828471,-0.16330607,0.38151628,0.6396049,0.24716139,0.42332238,-0.45046496,0.19009888,1.0749520000000001,0.36394098,0.21822655,0
0.5303184,0.26491929999999997,-0.48778528,0.36326268,0.09140153,0.9863165,0.05258198,-0.45799482,-0.6584890999999999,0.5700154000000001,1.0933993999999998,-0.45387262,-0.60603565,1.1641434,-0.12881464,-0.22455807,-0.15930471,0.87340885,1.0698252000000001,0.4984048,0.38594470000000003,0.49267690000000003,0.29094452,0.016140938,-0.07088851,0.027233694,-1.2123754999999998,-0.048862178,-0.111761585,0.4428312,0.78300214,0.77918243,-0.81002057,-0.48218924,0.16413005,1.0435497999999999,-0.29845273,-0.47253433,-0.76033926,0.64179444,1.2722459,0.027607966,-0.5904765000000001,0.7795978,-0.868762,-0.36244142,-0.743591,0.527424,1.4247085,0.7455031999999999,0.29335487,0.31047767,0.32799828,-0.45695522,0.38745913,-0.09010583,-1.3404646,0.44402558,-0.29284683,0.71825886,1
-0.5214762,0.09538474,-0.08914118,1.0885124,-0.05486824,0.19238313,0.9201639000000001,-0.41179907,-0.013127068,0.16913813,0.6923267,-0.9643099,0.15465185,0.7366575,0.09256693,-0.17504759,0.5274563,0.4843045999999999,0.28494683,0.17038533,0.31249303,0.08490457,0.060481495999999996,-0.07308263,-0.35257536,-0.37204495,-0.6016236,-0.15751868,0.6477684,0.20144516,0.014417712,0.7864519,-0.10645809,-0.11499399,-0.9175873999999999,0.65641344,1.0216714,1.276171,-1.6873311999999998,1.3998628999999998,-0.07399253,-1.5243312,0.9452681999999999,-0.6852579000000001,0.15264598,-0.41132054,-1.2525008999999998,0.74540025,-0.05578869,0.1159172,0.13914193,0.4531531,0.19328552,-0.4717312,0.67232215,1.2563858,-1.6915663,0.54771954,1.2895317,1.7307762999999998,0
0.25324082,-0.68003494,-0.37338796,0.66005635,-0.1905559,-0.05149104400000001,0.0114590945,0.11800918,0.085657775,-0.20230496,-0.021858667999999998,0.41689068,0.5300879,-0.29069376,0.37115455,-1.0563396,0.16587119,0.4342213,1.0273701,0.36988932,-0.2047029,-0.04620613,0.12482453,-0.49957678,0.057720333,-0.2404093,-0.19228253,0.37265970000000004,-0.2843874,-0.32165012,-0.30984345,-0.25218877,-0.8547415,0.48111936,-0.43623132,0.42065567,0.48837236,0.2681909,0.18675445,-0.37143856,0.21853274,0.4641332,0.6549876,-0.43724796,0.29080490000000003,-0.7144826999999999,-0.07863223,0.51580137,1.093543,-0.29542702,-0.3249953,-0.14388415,-0.4824776,0.11560176,1.1113126,-0.12652126,0.579607,0.6720136,0.4793464,-0.24955896,1
-0.26648995,-0.29345867,-0.3678832,0.5460464,-1.0382360000000002,-0.36905304,-0.16679753,0.612946,0.29677259999999994,0.91638726,0.2801913,-0.78536737,-0.5811955,-0.35106679999999996,-0.5235942,-0.4359883,-0.03302087,-0.46753582,-0.18788381,0.17642428,-0.44712964,0.78402084,-0.59742343,-0.5412935999999999,-0.4728621,-0.18861848,-0.126638,0.25122583,0.23574023,0.5855066,-0.17859492,1.2461376,-0.5916224,1.0676758,-0.9363629000000001,0.11366237,0.76137894,-1.6713023,-0.12174564,1.9526705000000002,1.3264186000000002,0.4825875,0.19108982,0.19776404,-0.05015432,0.54863465,0.13684139,-0.7366074,0.2613036,-0.12712058,-0.8638474,1.3309833,0.6101558000000001,-0.45545673,1.6737223,1.2142692,1.449675,2.3130848,-0.40126085,0.7626172,0
0.7271888000000001,-0.8133372,-1.2369194,0.96767914,-0.8264033000000002,0.60193,0.43082390000000004,-0.16303816,0.27834553,0.5626215,-1.5862032,-0.8743315999999999,-0.115345,0.07833778,0.7245385,-0.4020514,-0.028263653,-0.24499947,0.43302396,-0.4878737,-0.643663,-1.3585243999999999,-0.29983085,-0.47063469999999996,-0.03495758,0.25426984,-0.89684486,0.13654193,0.7801869,0.15254842,0.17285594,-0.36795458,-0.8597485,0.26670617,-0.4125945,0.34707654,-0.09324506,0.29488304,0.2559731,0.39008442,-0.14902847,-0.674485,-0.61720145,-0.42437562,-0.4867576,-0.8064624,-0.03287386,0.283523,-0.40922475,-0.5388429,0.1449343,-0.17688362,0.45547790000000005,-0.049846437,-0.6251866999999999,-0.43520644,-0.21475784,-0.066985466,0.7317252,0.31565386,0
-0.27749577,0.15019555,-1.0640405000000002,0.6294550999999999,0.8660247,0.57739896,0.6580514000000001,0.07660547,-0.5682918,1.1596583999999999,-0.81589574,-0.16449691,-0.8826818999999999,0.095919356,-1.1226406,-0.20620932,-0.35679805,0.49588326,-0.31300828,-0.27993646,-0.10033174,0.069211744,0.96096253,-0.036135732999999996,-0.3664465,-0.6079945999999999,0.26463628,0.29824320000000004,1.0460943,-0.20939055,-0.42765915,-0.14359407,-0.12105512,0.8982062,0.0064072109999999995,0.33924740000000003,0.53512204,-0.44408453,-0.019564176000000003,0.28470013,0.6167607,-0.6660056,0.09096989,0.724082,0.10466085,-0.109142415,0.31357735,0.5200205,0.18700877,0.0790508,0.33306876,0.09170589,-0.10956101,-0.07564359,-0.18292174,-0.26614505,-0.50696355,0.0013737187,0.34892818,0.28285843,0
-1.0862923,0.9154225,-1.8605572,2.4966362,-2.338476,-0.79933685,-0.6019882,1.5738218000000002,-0.6189408000000001,1.5500787,1.8127631000000002,-0.79146665,-1.8309577000000001,0.32498625,-1.4763305,0.3543093,-1.6722375,2.4934876,2.8166759999999997,1.984845,0.8688937,-0.41114639999999997,0.9571086999999999,0.54889107,1.9151889,0.7623922,0.84049714,-0.30782059999999994,0.5902989000000001,-0.43290088,-0.50273246,1.0891426000000002,-2.4490652,2.6284322999999996,-2.3338614,-0.82243156,-0.47265828,1.636427,-0.35061508,1.525847,2.0889919999999997,-0.70925057,-1.5394024,0.47806957,-0.6474456000000001,0.8989809999999999,-1.4472346,2.4218142000000005,2.3128276000000003,2.9678847999999998,0.8422253000000001,-0.49870068,0.899596,0.8046233,1.3150151,0.83272976,0.8274313,0.05561593,0.87811154,-0.7107716,1
0.5546072,0.36361557,0.14942023,0.6776148,-0.95609206,-0.8622757999999999,-0.7046081,-0.092486665,0.012528113,0.59280074,0.057485647,-0.18573314,1.3538263000000001,-0.43099722,-0.88088727,-0.37704632,-0.0062332763,0.35318634,-0.12072974,-0.61078864,-0.23643826,-0.17404804,0.49495563,0.25820276,-0.12612243,0.14589849,0.01916057,0.05600989,0.93710786,-0.04308043,0.6241838000000001,0.19938114,0.22738865,1.0824573,-0.5228647,0.075584166,-0.56798965,0.20430320000000002,0.58993095,0.60495114,0.24036910000000003,0.040257137,-0.10152775,-0.63715696,-0.09270297,-0.0993778,0.5285930999999999,0.09322852,0.5706621999999999,0.11019952599999999,-0.043624297,0.4374348,0.6335472,-0.22752208,-0.30819163,0.31119847,-0.36096558,-0.2568655,1.4403741,0.7812920999999999,1
1.5807368999999998,0.7286663000000001,0.51728266,1.6790040000000002,-0.28436264,-0.25144017,0.26795837,-2.0056393,0.26812553,0.80973417,0.23756184,-0.4509937,-1.5178916,-1.8842621,1.1649256000000001,0.66957146,1.3717362,0.86389863,-1.2034736000000001,-0.269841,-1.2516812,0.7560254,1.1593581,-1.3375138,0.6684538000000001,-1.6805526999999998,-1.1923728,1.2410941,1.4608518999999998,0.012528247,1.6892525,0.274563,0.38939822,1.2423353000000001,-0.17292407,-0.21464846,-0.088825345,-2.0625792,0.46168876,0.7655533,0.37090638,0.09653148,-1.4910915,-1.8340093999999998,1.1012937,0.47880825,1.3786771999999998,0.88628435,-0.6521246,-0.020065168,-1.2156608,0.48952642,0.9261706000000001,-1.0940322,0.41264778,-1.365062,-1.1565847,0.89805686,1.1747805,0.11548121,1
-0.14559235,0.022857195,-0.8529978000000001,0.64330727,-0.09813741,-0.6846466999999999,-0.29788244,-0.48078699999999996,0.33409134,0.6042911,-0.15027189,0.23437126,0.5921838,0.23117235,0.050241525999999995,-0.0049216035,0.64125997,-0.27628204,0.56478286,-0.627782,-0.17590076,1.2626425,-0.21725316,0.1678461,-0.50209224,0.6746553000000001,-0.2515655,0.71943295,1.0669607,-0.049417086,0.12653416,-0.48753658,-0.46263576,-0.010011471,-0.35775068,-0.1975959,0.10993709,-0.3009114,0.27658720000000003,0.4788617,-0.14723378,-0.54320014,0.20202807,0.27819479999999996,0.24759734,-0.40789714,0.80620134,0.057520684,0.5102542,-0.36966792,-0.02209804,0.21307607,-0.661387,-0.32178855,0.24743503,0.31371003,0.5604471999999999,-0.31188723,1.3095538999999998,-0.11007169999999998,1
-0.3318828,-0.287635,-0.4287071,0.47415856,-0.25431633,0.3144248,0.22913542,0.30889153,0.21939066,0.48295063,0.5446439000000001,-0.89061797,-0.46229225,0.09291889,-0.1598535,-0.6265768,-0.17946388,-0.080670886,-0.07242538,-0.10090039999999999,0.3782144,0.02814799,-0.19563206,-0.07418431,-0.59498674,-0.48623118,-0.47165877,-0.11148587,0.4065291,0.50494146,-0.5552651999999999,-0.21909624,-0.28001082,0.16227697,0.09627999,0.23966862,0.39888617,-0.17383912,0.48568904,0.6051211,0.40231776,-0.38013524,-0.018341223,-0.15088052,0.11441888,-0.39427617,-0.5766621999999999,-0.14298333,0.862727,-0.08251193,0.53602946,-0.027102819,-0.08610603,-0.014597718,-0.45298156,-0.79876083,-0.19667232,-0.20838174,0.30479870000000003,0.43418944,1
-0.23449908,-0.12997064,-0.45146912,1.1700705,-0.3973124,0.47669727,0.47467315,-1.0250198,-0.43080956,0.46473685,0.1655036,-1.6632456000000002,-0.6950571,0.77241427,0.29809058,-0.5971518,0.69288546,0.014702514,0.6281049,0.30207157,0.15579171,-1.0540638999999998,-0.805868,0.5934891999999999,0.47526237,-0.7300964,-0.9353060999999999,-0.45842764,-0.07987183,0.7487788000000001,-0.42765915,-0.14359407,-0.12105512,0.8982062,0.0064072109999999995,0.33924740000000003,0.53512204,-0.44408453,-0.019564176000000003,0.28470013,0.6167607,-0.6660056,0.09096989,0.724082,0.10466085,-0.109142415,0.31357735,0.5200205,0.18700877,0.0790508,0.33306876,0.09170589,-0.10956101,-0.07564359,-0.18292174,-0.26614505,-0.50696355,0.0013737187,0.34892818,0.28285843,1
-0.19384715,-0.08380755,-0.88408697,0.18471105,0.3287103,0.64191395,0.3971752,-0.3633422,-0.18264979999999997,0.8213763000000001,-0.16429615,-0.088512465,0.1939953,0.22346625,-1.0680097,0.1452071,0.06384692,0.31494707,-0.24631847,0.020630294,-0.6155215,0.19772194,0.4457496,-0.99072415,0.0002378772,-0.3855668,0.16320641,-0.04282352,0.6567115,-0.35303706,-0.14725272,-0.21828158,-0.69715387,0.14315467,0.24748945,0.46245107,0.37049377,-0.29767904,-0.21520348,0.7114889,-0.09568162,-0.08535074,0.3326261,0.10439141,-0.9195145,-0.09142459,0.045403026,0.025705443999999997,-0.16993171,0.07532023,-0.46637749999999994,0.13859001,0.42522568,-0.7590661,0.11663125,-0.51698214,0.09990894,-0.11989567400000001,0.645133,-0.18008313,1
0.7034004,0.2202672,0.29112336,1.1200508,-0.56589675,0.1804598,-0.733639,0.2291951,0.405509,0.67570674,0.34566290000000005,0.1375387,-0.02258679,-0.7551514,-0.12275885,-0.05849765,0.69972485,0.16414656,0.44746304,-0.009877077,-0.24334852,0.37195233,0.40299404,-0.30239522,-0.09404521,0.43506694,-0.34426805,-0.17431171,1.7693127,0.8639707,-0.70701736,-0.06314045,-0.6428588000000001,0.70851856,0.6980903,-0.16143282,0.6357459,0.28742322,-0.9784975,0.08442803,0.95305276,-0.40783995,0.41967225,-0.30960235,0.5206968,-1.3974456,-0.34189907,0.24499194,0.11654489,-0.03848806,-0.49706513,-0.5561459,0.4937573,0.49755505,0.65122014,-0.5795258000000001,-0.09813072,1.2748045000000001,0.17779094,1.4788063,0
0.29647964,0.04285333,0.4968914000000001,1.0656896,-0.6829710999999999,0.5113175999999999,-0.3830783,0.34872070000000005,1.0750614,0.878188,0.8139784999999999,-0.4941892,-0.56048274,-1.030504,-0.31045294,0.3497827,-0.019006636,0.31809223,0.610503,0.30648622,-0.38268948,0.7243090999999999,0.2007934,-0.10163952400000001,-0.16110507,0.36723873,0.061137967,-0.37018007,1.2394966,0.79061776,-0.20158342,-0.43599078,-0.6676095000000001,0.33413909999999997,-0.86775064,0.5145845,0.08527786,-0.10418269,0.2572665,0.6930598000000001,-0.17905134,0.19308452,-0.7837069999999999,0.21959288,-0.19709389,-0.029840121,-0.042877328,-0.09050578,0.23039520000000002,-0.35675946,-0.64590365,-0.031685445,-0.23566139,-0.23159191,-0.2033438,-0.46931530000000005,-0.43669830000000004,-0.46737510000000004,1.195818,0.56456304,0
