@relation wekaa70

@attribute Number1 numeric
@attribute Number2 numeric
@attribute Number3 numeric
@attribute Number4 numeric
@attribute Number5 numeric
@attribute Number6 numeric
@attribute Number7 numeric
@attribute Number8 numeric
@attribute Number9 numeric
@attribute Number10 numeric
@attribute Number11 numeric
@attribute Number12 numeric
@attribute Number13 numeric
@attribute Number14 numeric
@attribute Number15 numeric
@attribute Number16 numeric
@attribute Number17 numeric
@attribute Number18 numeric
@attribute Number19 numeric
@attribute Number20 numeric
@attribute Number21 numeric
@attribute Number22 numeric
@attribute Number23 numeric
@attribute Number24 numeric
@attribute Number25 numeric
@attribute Number26 numeric
@attribute Number27 numeric
@attribute Number28 numeric
@attribute Number29 numeric
@attribute Number30 numeric
@attribute Number31 numeric
@attribute Number32 numeric
@attribute Number33 numeric
@attribute Number34 numeric
@attribute Number35 numeric
@attribute Number36 numeric
@attribute Number37 numeric
@attribute Number38 numeric
@attribute Number39 numeric
@attribute Number40 numeric
@attribute Number41 numeric
@attribute Number42 numeric
@attribute Number43 numeric
@attribute Number44 numeric
@attribute Number45 numeric
@attribute Number46 numeric
@attribute Number47 numeric
@attribute Number48 numeric
@attribute Number49 numeric
@attribute Number50 numeric
@attribute Number51 numeric
@attribute Number52 numeric
@attribute Number53 numeric
@attribute Number54 numeric
@attribute Number55 numeric
@attribute Number56 numeric
@attribute Number57 numeric
@attribute Number58 numeric
@attribute Number59 numeric
@attribute Number60 numeric
@attribute Number61 numeric
@attribute Number62 numeric
@attribute Number63 numeric
@attribute Number64 numeric
@attribute Number65 numeric
@attribute Number66 numeric
@attribute Number67 numeric
@attribute Number68 numeric
@attribute Number69 numeric
@attribute Number70 numeric
@attribute Number71 numeric
@attribute Number72 numeric
@attribute Number73 numeric
@attribute Number74 numeric
@attribute Number75 numeric
@attribute Number76 numeric
@attribute Number77 numeric
@attribute Number78 numeric
@attribute Number79 numeric
@attribute Number80 numeric
@attribute Number81 numeric
@attribute Number82 numeric
@attribute Number83 numeric
@attribute Number84 numeric
@attribute Number85 numeric
@attribute Number86 numeric
@attribute Number87 numeric
@attribute Number88 numeric
@attribute Number89 numeric
@attribute Number90 numeric
@attribute Number91 numeric
@attribute Number92 numeric
@attribute Number93 numeric
@attribute Number94 numeric
@attribute Number95 numeric
@attribute Number96 numeric
@attribute Number97 numeric
@attribute Number98 numeric
@attribute Number99 numeric
@attribute Number100 numeric
@attribute Number101 numeric
@attribute Number102 numeric
@attribute Number103 numeric
@attribute Number104 numeric
@attribute Number105 numeric
@attribute Number106 numeric
@attribute Number107 numeric
@attribute Number108 numeric
@attribute Number109 numeric
@attribute Number110 numeric
@attribute Number111 numeric
@attribute Number112 numeric
@attribute Number113 numeric
@attribute Number114 numeric
@attribute Number115 numeric
@attribute Number116 numeric
@attribute Number117 numeric
@attribute Number118 numeric
@attribute Number119 numeric
@attribute Number120 numeric
@attribute Number121 numeric
@attribute Number122 numeric
@attribute Number123 numeric
@attribute Number124 numeric
@attribute Number125 numeric
@attribute Number126 numeric
@attribute Number127 numeric
@attribute Number128 numeric
@attribute Number129 numeric
@attribute Number130 numeric
@attribute Number131 numeric
@attribute Number132 numeric
@attribute Number133 numeric
@attribute Number134 numeric
@attribute Number135 numeric
@attribute Number136 numeric
@attribute Number137 numeric
@attribute Number138 numeric
@attribute Number139 numeric
@attribute Number140 numeric
@attribute class numeric
@data
0.019864198,-0.074752755,-0.14265402,-0.6270955,-0.24746479,0.13004643,-0.32253587,0.3882394,0.4550345,-0.065268956,-0.31376517,0.3043332,0.18591611,-0.082312316,0.22627573,0.27853313,0.05493756,0.22815922,-0.13207574,-0.14411922,0.16285792,0.14721847,0.05711866,0.641252,0.44333073,-0.9129968,0.5959428000000001,-0.059840303,0.06688386,0.57701576,0.2024105,0.34715840000000003,-0.14085451,0.32049736,-0.44426495,0.4505799,0.31700182,-0.10367224,-0.5154497,0.28038263,0.16227347,0.27549840000000003,0.20143712,-0.1116053,-0.20648135,-0.026961192000000002,0.49134508,-0.4060665,0.08018618,0.29097098,-0.26025453,0.45428237,0.14623775,0.33668962,0.21673772,0.5558052,0.52953243,-0.16028634,0.6898144,-0.459949,-0.6981499,-0.44424617,-0.06597503,0.043333557,-0.04832430000000001,0.3068672,-0.6638896,-0.17866293,0.5707201999999999,0.47695193,0.08361899,-0.78943753,0.09889881,-0.029895544,0.75247645,1.2463643999999998,-0.28802073,-0.8600483,-0.021788934,0.22422221,-0.6924123999999999,-0.50779384,-0.51711726,0.10600038,-0.22944632,0.59218144,0.022283874,-0.5170755,-0.5248665,-0.21275361,-0.19441952,0.06311104,0.26693746,1.0006085999999998,-0.12245858,0.42054102,-0.6041843000000001,0.24027151,0.56045276,0.2525985,0.76795655,-0.8658716000000001,-0.40066656,0.79983443,-0.24499951,0.035558674,0.73976886,-0.52652353,-0.2993378,1.1268808000000001,2.2459354,0.580781,-1.7473181,-0.11598321,-0.5876965000000001,0.046014722,-0.40366290000000005,0.40370759999999994,-0.095444866,1.0245726000000002,0.13614464,0.08648717,0.28489968,-0.47186807,-0.20712413,0.3938727,-0.24556541,-0.50938535,-0.03345685,-0.46711028,-1.315505,-1.0408173,-0.67485243,0.11780291,0.22674009999999997,-0.7400956,0.896741,-0.39276034,-0.27251077,0.56272477,0
0.030619742000000002,-0.6645288,0.037939865,-0.3537187,0.77461016,-0.24504784,0.26713505,0.5872225999999999,-0.30216548,-0.41946018,-0.9048651,0.56527543,0.27219132,-0.19255498,-0.45386356,-0.04758747,0.38589033,-0.3897143,-0.056536485,0.5605989,-0.22845083,-0.23375176,0.33997288,0.20954871,0.20413348,-0.3679035,0.08080626,-0.39641094,0.42021754,0.27986228,-0.05704693,0.109043494,0.12358989999999999,0.47661509999999996,0.36281030000000003,-0.3107518,-0.13221529,0.048193734,0.277278,0.21403249,-0.006504235,-0.5194693,0.12647106,-0.04801361,-0.29083297,-0.17037868,-0.19974136,0.13053378,-0.6157892,-0.24966095,0.2508291,0.15442389,0.5797135999999999,0.2173174,0.32515302,0.16720076,-0.11333443,0.3726067,-0.0009149819400000001,-0.152107,-0.42010128,-0.23417816,-0.047557447,0.7783542,0.34671697,0.08116405,0.48106506,0.32972017,0.22403868,-0.14323542,0.8772355,-0.081442066,1.0244964,-0.91032934,-0.79427576,-0.45186540000000003,-0.9983420000000001,1.2299985,-0.1564863,0.9263693000000001,0.054183073,0.28240016,0.64549273,-0.6430336,1.0251832,-0.35365495,-0.06295493,0.18996179,-0.7740214,0.46453425,0.0880095,0.9201568999999999,0.38558435,0.26539534,-0.563499,-0.30016637,0.27124557,-0.42921750000000003,0.9085107,0.25247407,0.11126624,-0.5760261999999999,-0.90304744,0.0838957,0.6531726999999999,0.6712829,0.5056185000000001,-0.8463136,-0.24572478,0.5568892,0.8337659,-0.06146156,-0.15549608,0.32925057,0.8403521,0.08077123,-0.25751796,0.12766163,-0.26045665,0.20417552,0.32387498,-0.5785364000000001,0.105640136,0.19285093,-0.52812076,0.22033359,-0.71208364,0.0103546865,0.7873536999999999,-0.33021513,-0.25235394,0.75352246,-0.49046069999999997,0.81850356,-0.46667296,-1.1536586000000002,0.19867282,0.96034884,0.11935767,-0.28168637,0
-0.004894739,-0.3142408,0.32942417,-0.15803641,0.22966985,0.29866803,-0.7055760999999999,-0.15487263,0.5529378,0.7422714,0.5266930000000001,-0.08839983,0.42727178,-0.14158028,0.026734399,0.3196553,0.18403924,-0.39162898,-0.8930292,-0.36974537,-0.28477470000000005,-0.13046839999999998,0.6364816999999999,0.7316879,1.201548,-0.32241258,-0.38522893,-0.32843340000000004,0.09497359400000001,0.26218516,0.20789526,0.38636115,-0.37131754,-0.17271861,0.6918609,0.55364203,0.774813,-0.19143885,-0.38125533,-0.30435815,-0.47185674,-0.30060452,0.46486497,-0.22080944,0.37568809999999997,-0.1974177,-0.8076625,0.089657076,-0.43286374,-0.08107873,1.1539747999999999,-0.6256574,0.23149823,0.49189970000000005,-0.16684182,-0.3978447,-0.08647565,0.085279964,0.7555441999999999,-0.27541324,-0.7581383,-0.31060290000000007,-0.24779965,-0.48301372,-0.08388777,-0.36715165,0.35834545,-0.13354371,0.22396798,0.72497684,1.5602524,-0.5640138000000001,0.9565811,-0.7906231,-0.34692803,0.22749065,-0.8001045999999999,0.13229841,0.356742,0.1369963,0.36055365,0.21012318,0.9744290999999999,-1.0386633,0.15549792,1.302894,-0.71462613,0.6170521999999999,-0.5021002,0.8149099,-0.5678831999999999,0.5537604,0.39823335,0.024499176,-0.7466979,0.2981798,-0.012470351999999999,-0.7237279000000001,0.7820159999999999,0.96935225,1.0973377,-0.057981454,-0.5447535,0.18327281,0.6594406,0.06561878,0.12616680000000002,-0.19919822,-0.77699405,0.010832752,-0.25744095,0.11288917,0.4106869000000001,-0.24454527,0.7070195,0.47801858,-0.13769616,-0.19322197,-0.80488294,0.259432,-0.702784,1.1170959999999999,-0.6365036000000001,0.43898645,-0.5808545,0.039425943,0.54514825,-0.6606771,0.7508355,-0.45700082,-0.42381734,-0.69725,-0.40887690000000004,0.7971001,-0.081089765,-0.042590816,-0.16178131,0.5933553,0.79901856,-0.09818437,0
-0.08596482,0.114065446,-0.0560311,-0.5944632,-0.1699088,0.26049787,-0.38627740000000005,0.45341322,0.1897139,0.13190986,-0.47396636,0.20106345,0.24300009,-0.24796492,0.047208544000000005,0.57898915,-0.0694586,0.31474033,-0.13001816,0.20738874,0.09469155,0.055750456,0.14732406,0.5588917,0.6763673000000001,-0.82269216,0.3427597,-0.016824577,-0.046076816,0.48915204,-0.13029893,0.08506309,-0.32306278,0.2855902,-0.35547644,0.41722667,0.47598872,-0.2649732,-0.6320935999999999,0.5645083000000001,0.50166476,0.1147874,0.37626356,-0.22808102,-0.26062268,0.20607664,0.21948694,-0.20829450000000002,0.42474452,0.37821156,-0.15962341,0.58994603,-0.10136723,0.48790148,0.17092396,0.65059716,0.28144932,-0.479365,0.46453622,-0.55151576,-0.16301042,-0.6772323,0.15130118,0.051033188,-0.17913172,0.3709195,-0.44554594,-0.047206312,0.29958022,0.39481762,-0.026777564,-0.004396512,-0.29582572,0.009897454,0.3966168,-0.87061137,-0.13530643,-0.20154761,-0.27583042,-0.5818389,-0.11711406,0.07492498,-0.8335966999999999,-1.5150135,0.6109099,0.6917534000000001,-0.031090427,-0.3269269,-0.19301371,0.28383887,-1.0851833999999998,-0.91961205,0.4010074,-0.36623564,-0.28764686,0.44777402,0.9217508,-1.6060128,0.2806607,0.9567428,0.33516399999999996,-0.5089167,0.047267616,-0.35377386,-0.60493135,-0.15181164,1.5886252,-0.0697281,-0.48321542,-1.0962441,0.3899243,-0.9119141,0.31742236,-1.3101473999999997,-0.18558231,-0.42650083,-0.8115215,0.643991,0.82938033,1.1344011,0.19136873,-0.8176161999999999,1.2628158,0.015666943,1.1461955,0.15668382,-0.026131598,-0.9416783000000001,0.29677665,-0.0031970370000000002,-1.4842833999999998,-0.39112663,-0.8362659,0.01963951,-1.2312107,-0.5611648,0.07051319,1.3370918999999999,0.94084895,0.8363531999999999,0
0.10833036,-0.46654204,0.20241442,-0.44953322,0.67991966,-0.2501168,0.029119745,0.24868302,-0.16371799,-0.49935278,-0.8047251,0.57179016,0.067347646,-0.14923055,-0.5793437,-0.02554381,0.6344788,-0.41453353,-0.16351822,0.5929156,-0.20157845,-0.14513603,0.28050515,-0.30467165,0.2513723,-0.29296663,0.20558265,0.008778041,0.5782435,0.061308224,-0.067141674,0.26471922,0.17282085,0.37517875,0.3318801,-0.17532782,-0.29189109999999996,-0.07419951,0.30075368,0.15507601,0.39920995,-0.3413394,-0.032601353,-0.06218925,-0.14303437,-0.093211055,-0.111562155,0.2296665,-0.35975143,-0.21571493,0.31333783,0.124667846,0.57030493,0.35697594,0.1542713,0.34437326,0.008692233,0.42460376,0.058488122999999996,-0.09486536,-0.60691106,-0.22162074,-0.04124982,0.39348942,0.065012656,0.18428633,0.22654288,0.5245806,0.13247155,-0.13831984,0.4294523,0.045216735,0.7100854999999999,-0.29352704,-0.050438903,-0.36128658,-0.28600273,0.21376926,0.08119995,0.43759617,-0.35510975,0.12128829,-0.11480781400000001,-0.53108925,0.045767296,0.3706897,0.17323923,-0.21644583,0.4395905,0.28215218,0.18785259,0.49370414,0.27856929999999996,0.39484709999999995,0.32490233,-0.46865192,0.41774118,-0.42155144,0.17390001,0.02684748,0.047836058,-0.091197655,-0.57347125,-0.11405542,0.19321159,-0.25975236,0.38020617,-0.48719966,-0.30595994,-0.20652729999999997,0.048433777000000004,-0.38939008,-0.21020581,0.009121321,-0.21100307,0.10750632,-0.043426808,-0.01252529,-0.43110308,-0.36898443,-0.17337613,0.024566714,-0.65911436,-0.103541255,0.57297325,0.68223697,0.30325857,0.32418332,0.004995567,0.044133004,-0.09691271,-0.2773325,0.08516279,-0.2190857,-0.45468768,0.40923807,0.39666292,-0.06901875,0.22478738,0.51087075,0
-0.0035076879999999997,-0.15382399,-0.35371605,-0.66577846,-0.17729370000000003,-0.019829141,-0.28393653,0.22667575,0.19766472,0.122939065,-0.46521404,0.1282029,0.2621077,0.16799271,0.20635661,0.26878092,-0.11421537,-0.08174107,-0.057620533,0.25411445,-0.1440867,-0.03404341,0.07251738,0.53165674,0.41408038,-0.8723853000000001,0.49536490000000005,-0.022200577000000003,-0.035818204,0.69389594,-0.058960028,0.26804240000000007,0.0058405097,0.20964782,-0.45677194,0.3486862,0.3710553,-0.024163319,-0.6606207,0.36726892,0.27253938,0.41568574,-0.008598996999999999,0.17719346,-0.09697272,0.041252308,0.25458428,-0.40165082,0.44008654,0.38680297,-0.103511505,0.5915136999999999,0.27148122,0.3255659,0.18149978,0.6306238000000001,0.44817060000000003,-0.34281206,0.27477437,-0.6488663,-0.46710485,-0.47671694,-0.0646799,-0.20227844,-0.3757333,0.37465498,-0.128407,-0.11903906,0.6280661,0.405531,0.048737425,0.038133807,-0.2267887,-0.5708174,-0.36351243,0.12736474,-0.35304374,0.2558719,0.29756436,0.015227886000000001,-0.37319005,0.22672583,0.28661588,-0.021085966,0.30077237,0.507684,0.05496994,0.066623,-0.08496499,0.11204418,0.021126267,0.109696746,0.21641603,0.5869314999999999,0.39988703,-0.84575444,0.58092004,-0.03926313,0.018394328999999997,0.4699278,0.06497083,0.23703828,-0.039359193,0.27992225,-0.2828656,0.19818339999999998,0.37312278,-0.18060577,-0.5629545,0.22099917,0.22471943,0.00892282,0.21116936,-0.18218878,-0.07253621,0.18932611,0.21124136,-0.44282874,0.23723404,0.096276045,-0.33298796,0.48934382,0.2000069,0.34731212,0.20002751,0.5533498,0.37827814,-0.24069242,0.30677268,-0.44384986,-0.3418772,-0.47950396,0.007031607,-0.043449752,-0.20390838,0.31119558,-0.37351382,0.046397492,0.27029553,0.45380163,1
0.015787536,0.5359845,0.52218676,0.16494685,0.49885222,-0.5512274,0.028220033,0.43975425,0.10321943,0.29398215,-0.55345124,-0.5922273,0.32811946,-0.4691232,0.24798715,0.33160752,0.27647358,-0.27380618,0.48991090000000004,0.30976972,0.5092518,0.08669811,0.3297275,0.026644487,0.72908187,0.22226106,0.5050361,0.61072826,0.69941884,-0.12321997,0.6599170999999999,-0.10478039999999998,-0.3274848,0.4388108,0.38340345,-0.46844488,0.33864638,-0.36280185,-0.19056262,0.09495659,0.1628977,0.46652713,0.37063172,0.2970751,0.4294813,-0.14399557,-0.30209133,-0.21960558,0.26807576,0.040795623999999996,0.73325413,0.32116383,0.07839851,0.356111,0.08244092,0.6317547,-0.30858620000000003,-0.9133859000000001,0.49140188,-0.8832485999999999,-0.051809855,-0.07626538,0.16907819,0.70154893,-1.0805912,-0.28143516,-0.26938838,0.39179847,0.76350933,0.11528693,-0.16428418,0.25349337,0.59372044,0.11872709,0.6521493,-0.27822990000000003,0.16538179,0.4043294,0.09076975,0.19908746,-0.41841492,-0.21295057,0.46911076,-0.43135920000000005,0.19779745,0.3556087,0.36878893,-0.14323306,0.4733019,0.273978,0.18291254,0.122620195,0.3667729,0.28525814,0.47916709999999996,0.10923751,0.54558206,0.56335634,0.6413993,-0.022824166,0.31570715,-0.052736357000000005,-0.21816605,0.51974267,0.25008708,-0.48129356,0.46826503,-0.32134846,-0.08361562,-0.014866011,0.14489219,0.19872384,0.20963141,0.09330110000000001,0.40746659999999996,-0.09559244,-0.28386196,-0.08444453,0.06491518,0.037050012,0.6002092,0.13028549,0.07742552,0.26596704,0.061756093,0.533149,-0.17024128,-0.7716183000000001,0.3092824,-0.8912985999999999,0.23098195,-0.1296568,0.15124749999999998,0.58518577,-0.7641614999999999,-0.3757245,-0.26840815,0.23593615,0.6501279000000001,0.27826044,1
0.0990337,0.05472356,0.32493207,0.043127745,0.066542745,-0.20145218,-0.47330976,0.25728038,0.08209976599999999,-0.7155043000000001,-0.22700047,-0.24587293,-0.33999250000000003,0.9024869000000001,-0.107677266,0.055352165999999994,-0.21475902,-0.763567,-0.35882166,-0.55727625,-1.0181407,-0.1187151,-0.35090232,0.06705161,0.5512864000000001,0.22665872,0.39633465,-0.43846196,0.7615248,-0.99320984,0.8339921999999999,-0.2580125,-0.5776225,0.31083408,0.21849543,-0.78824013,0.8602987,-0.044685982,-0.3513684,0.43056852,0.06946245,-0.6646850000000001,0.36646384,0.39084798,0.52869755,-0.08759585,0.20898321,-0.18995585,-0.23053882,-0.32323435,-0.17898709,0.56768066,0.20495832,0.7315305999999999,-0.4345905,-0.22601910000000003,-0.36793393,0.10779157,-0.24890871,-0.35889970000000004,0.0036639940000000003,0.36220288,-0.15683557,0.78210974,-0.39959285,0.75867236,0.036040034,0.12714253,0.36463588,0.36377892,0.946601,-1.0644042,1.1360111000000002,-1.0371599,0.95973146,-1.1432049,1.7845476999999998,1.7587918999999999,-0.11023980000000001,0.41806206,-0.14432654,0.24447009,0.29637662,-1.0427344,-0.48186590000000007,0.46520504,-0.5648179,-0.6330216999999999,-0.62210155,0.21326151,-0.7260492,0.99546385,-0.094553255,-0.30739126,0.852943,-0.16495952,0.033070594,-0.16735402,-0.55881816,1.3618158999999999,0.5998673000000001,0.88991266,0.016082937,1.6496221000000002,-0.9616466999999999,-0.4034173,0.35966820000000005,-0.90240973,-0.42036238,0.7368811,-0.12885693,-0.10700430000000001,0.18621500000000002,-0.11417087,0.07270125,-1.4922879,0.7148229,-0.97910845,-0.25933757,0.9706713,0.072186045,-0.6885502,0.52675414,-0.22120096,0.58226043,0.35045445,0.21546447,-0.58022076,-0.040260542,1.2741072,-0.49721718,-0.28917524,-0.25810373,0.6587828,0.24406558,0.83840966,0.13380504,1.1266357,0.65225035,0.24727957,0
0.010826167,0.14095658,-0.26745448,-0.71404856,-0.5060842999999999,0.2331953,-0.28199935,0.33998787,0.4892821,0.13741621,-0.47815612,0.45734292,0.14963648,-0.0033392003,0.30312502,0.43114790000000003,-0.15517858,0.25822133,-0.22951986,0.35950607,-0.01343446,0.24376214,0.037283733,0.47534925,0.28817993,-1.0002010000000001,0.36298436,-0.03283949,0.22292240000000002,0.64123046,-0.010583415,0.19096223,-0.05241566,0.32124785,-0.4309778,0.18340112,0.7418786,-0.19194144,-0.6014022,0.27554724,0.41670352,0.23632331,0.10196347,-0.19203292,-0.006071085,0.03160901,0.114346325,-0.50746566,0.08241951,0.014371291999999999,-0.15301849,0.4933178,0.21617615,0.52643794,-0.027018212000000003,0.534801,0.5572423000000001,-0.22350982,0.27788076,-0.45611647,-0.09308382,-0.4337312,0.040580537,-0.14773089,-0.45956826,0.33982822,-0.30934787,-0.020198587,0.2214841,0.6980791000000001,0.048737425,0.038133807,-0.2267887,-0.5708174,-0.36351243,0.12736474,-0.35304374,0.2558719,0.29756436,0.015227886000000001,-0.37319005,0.22672583,0.28661588,-0.021085966,0.30077237,0.507684,0.05496994,0.066623,-0.08496499,0.11204418,0.021126267,0.109696746,0.21641603,0.5869314999999999,0.39988703,-0.84575444,0.58092004,-0.03926313,0.018394328999999997,0.4699278,0.06497083,0.23703828,-0.039359193,0.27992225,-0.2828656,0.19818339999999998,0.37312278,-0.18060577,-0.5629545,0.22099917,0.22471943,0.00892282,0.21116936,-0.18218878,-0.07253621,0.18932611,0.21124136,-0.44282874,0.23723404,0.096276045,-0.33298796,0.48934382,0.2000069,0.34731212,0.20002751,0.5533498,0.37827814,-0.24069242,0.30677268,-0.44384986,-0.3418772,-0.47950396,0.007031607,-0.043449752,-0.20390838,0.31119558,-0.37351382,0.046397492,0.27029553,0.45380163,1
0.34536767,0.20456132,0.7291449999999999,-0.5099852,-0.52376246,-0.3361809,0.1894375,-0.058621965,-0.74310285,0.32765093,-0.066367395,0.19237415,0.40696084,0.103308596,-0.013133568,-0.068714105,-0.46171007,-0.22710645,-0.52979004,0.10022873,0.16141638,-0.8290950999999999,0.48529120000000003,-0.11845676599999999,1.058275,-0.7079375,-0.11147954,-0.08736747,0.96086365,-0.15518767,0.06995481,0.78709483,-0.531514,0.108126506,0.8027599,0.28074318,0.1600473,-0.4373523,-0.11983705,-0.3047847,0.19207364,-0.41043997,0.6221091,-0.21088969999999999,-0.0700472,0.7085001999999999,-0.14862098,-0.6845343,-0.24854863,0.07963017,0.43487477,-0.4586778,0.015616637,-0.49683067,0.48835844,1.2297924,0.04657891,-0.5584224,-0.35166723,-0.3222977,-1.0624552,-0.08982608,-0.23025249,-0.33986157,-0.24459863,0.45822027,0.11155925,0.16133477,0.56132585,0.47004706,0.00217007,-0.028670467,0.42854884,-0.0795013,0.035364985,-0.10382101,0.16510068,0.47187460000000003,-0.38777047,-0.23602016,-0.7104815,-0.64935917,-0.5135586,-0.13867812,0.0037361440000000003,-0.14024699,-0.02481706,-0.40675375,-0.41104677,0.12508127,-0.1795364,0.2604729,-0.03908979,-0.25194573,0.002864277,0.31909838,0.21543057,-0.47446059999999995,-0.1415152,0.18708138,0.24097887,0.23343821,-0.21819270000000002,-0.27392167,-0.5766925,0.30682293,0.18542628,-0.36034920000000004,0.21803762,0.18996593,-0.5660661,0.1705115,-0.39414626,-0.22182178,-0.11921156,0.8623098,-0.5934946,0.28499323,-0.54127765,-0.0051599187,0.39691040000000005,0.32586509999999996,0.42796782,0.24721666,-0.13194901,0.1651205,0.06275414,-0.06110521,-0.13889392,0.08198255,-0.06264309,-0.115523875,-0.27283734,0.020293918,-0.29939118,0.2049888,-0.41707686,-0.17075305,0.29103234,-0.10436413,0
