@relation wekaa10

@attribute Number1 numeric
@attribute Number2 numeric
@attribute Number3 numeric
@attribute Number4 numeric
@attribute Number5 numeric
@attribute Number6 numeric
@attribute Number7 numeric
@attribute Number8 numeric
@attribute Number9 numeric
@attribute Number10 numeric
@attribute Number11 numeric
@attribute Number12 numeric
@attribute Number13 numeric
@attribute Number14 numeric
@attribute Number15 numeric
@attribute Number16 numeric
@attribute Number17 numeric
@attribute Number18 numeric
@attribute Number19 numeric
@attribute Number20 numeric
@attribute class numeric
@data
1.1980468999999998,1.1664568000000002,-0.19371043,-0.7222651999999999,-0.87108606,0.21037698,0.46588612,-0.11478775,-0.23171104,-0.57624406,1.1183366000000001,-0.2874085,0.9049364,-0.1072972,0.53466445,0.20918682,1.9599402,-0.9114034,0.41082412,-2.7546237000000002,0
1.3911902,0.19002861,0.7209206,-0.34680900000000003,0.42754236,-0.44503534,-0.6523235,0.8771993,0.2641486,-0.097469196,0.47371864,1.400915,1.9649124,-3.2622955,0.8496059000000001,1.958046,-0.004419422199999999,-1.0468011000000002,0.32069892,1.6768808000000002,0
0.9020152,0.62576985,0.04921543,-0.44341922,0.03238656,1.5348264999999999,1.1553695,-0.6650473000000001,0.66579795,-0.90749604,0.31810874,0.9678332000000001,1.442376,-2.8752,-1.0757996,1.0508434,-0.008853668,0.57466537,-0.7317347,-0.06599182,0
1.1732949,1.0832037,-0.15601675,-0.73781455,-0.85735625,0.20083015,0.61258113,-0.16074468,-0.34341955,-0.5686097,1.1532308999999998,-0.62851757,-0.32091479999999994,-1.9399990000000003,-0.11485931,0.94410783,1.4893724,2.0173285,2.8885782000000004,0.058805767,0
1.314257,0.27856806,0.7106734,-0.26131555,0.37312764,-0.2636332,-0.53926104,0.83540267,0.28090390000000004,-0.21136555,1.1074973,0.15387493,0.48733404,-1.0555149,-0.21831708,0.04824998,1.1262901,0.3454184,-0.75469005,-0.5422352,0
1.0548579,0.8805767,-0.27044314,-0.7315288000000001,-0.81672466,0.09405849,0.51292104,-0.09012136,-0.22677398,-0.39357477,1.091821,0.9000215,-0.19961941,-0.8098523,-0.7819944000000001,0.25068334,0.37801185,-0.10259580000000001,-0.2786067,-0.46118745,1
-0.0649181,1.9342720000000002,-0.557908,-1.8268514,0.09705426,0.5242998000000001,0.56992584,0.2719361,0.94826114,-0.22998764,0.02656116,1.5341352,-0.57722753,-1.494508,0.055068724000000006,0.37342104,0.6925368000000001,0.28401837,0.84621316,-0.24035956,1
0.31022364,0.24427357,-0.33689308,-1.9382758999999998,0.44496742,-0.96205884,-0.12738519999999998,0.52445096,0.39413768,0.024125105,3.1310046000000002,1.8714578999999998,2.2772438999999998,-0.5291765,0.104112685,1.3121271,1.3382871,2.5899935000000003,0.58574235,0.230859,0
1.2180906999999999,0.9721346,-0.29811427,-0.77778953,-0.9495946,0.12262419599999999,0.56117064,-0.20259579,-0.29859793,-0.41456547,1.091821,0.9000215,-0.19961941,-0.8098523,-0.7819944000000001,0.25068334,0.37801185,-0.10259580000000001,-0.2786067,-0.46118745,1
2.3512652000000003,0.7330306,0.15433037,-0.99524105,1.0765038999999998,0.27611926,1.1299614,-0.49941033,-0.57861036,-0.38030872,-0.24722613,0.07487806,1.2734765,-0.7083284000000001,-0.5478585,-1.0744892,0.12403712,0.97786844,1.0367572,0.21184799,0
