@relation wekaa80

@attribute Number1 numeric
@attribute Number2 numeric
@attribute Number3 numeric
@attribute Number4 numeric
@attribute Number5 numeric
@attribute Number6 numeric
@attribute Number7 numeric
@attribute Number8 numeric
@attribute Number9 numeric
@attribute Number10 numeric
@attribute Number11 numeric
@attribute Number12 numeric
@attribute Number13 numeric
@attribute Number14 numeric
@attribute Number15 numeric
@attribute Number16 numeric
@attribute Number17 numeric
@attribute Number18 numeric
@attribute Number19 numeric
@attribute Number20 numeric
@attribute Number21 numeric
@attribute Number22 numeric
@attribute Number23 numeric
@attribute Number24 numeric
@attribute Number25 numeric
@attribute Number26 numeric
@attribute Number27 numeric
@attribute Number28 numeric
@attribute Number29 numeric
@attribute Number30 numeric
@attribute Number31 numeric
@attribute Number32 numeric
@attribute Number33 numeric
@attribute Number34 numeric
@attribute Number35 numeric
@attribute Number36 numeric
@attribute Number37 numeric
@attribute Number38 numeric
@attribute Number39 numeric
@attribute Number40 numeric
@attribute Number41 numeric
@attribute Number42 numeric
@attribute Number43 numeric
@attribute Number44 numeric
@attribute Number45 numeric
@attribute Number46 numeric
@attribute Number47 numeric
@attribute Number48 numeric
@attribute Number49 numeric
@attribute Number50 numeric
@attribute Number51 numeric
@attribute Number52 numeric
@attribute Number53 numeric
@attribute Number54 numeric
@attribute Number55 numeric
@attribute Number56 numeric
@attribute Number57 numeric
@attribute Number58 numeric
@attribute Number59 numeric
@attribute Number60 numeric
@attribute Number61 numeric
@attribute Number62 numeric
@attribute Number63 numeric
@attribute Number64 numeric
@attribute Number65 numeric
@attribute Number66 numeric
@attribute Number67 numeric
@attribute Number68 numeric
@attribute Number69 numeric
@attribute Number70 numeric
@attribute Number71 numeric
@attribute Number72 numeric
@attribute Number73 numeric
@attribute Number74 numeric
@attribute Number75 numeric
@attribute Number76 numeric
@attribute Number77 numeric
@attribute Number78 numeric
@attribute Number79 numeric
@attribute Number80 numeric
@attribute Number81 numeric
@attribute Number82 numeric
@attribute Number83 numeric
@attribute Number84 numeric
@attribute Number85 numeric
@attribute Number86 numeric
@attribute Number87 numeric
@attribute Number88 numeric
@attribute Number89 numeric
@attribute Number90 numeric
@attribute Number91 numeric
@attribute Number92 numeric
@attribute Number93 numeric
@attribute Number94 numeric
@attribute Number95 numeric
@attribute Number96 numeric
@attribute Number97 numeric
@attribute Number98 numeric
@attribute Number99 numeric
@attribute Number100 numeric
@attribute Number101 numeric
@attribute Number102 numeric
@attribute Number103 numeric
@attribute Number104 numeric
@attribute Number105 numeric
@attribute Number106 numeric
@attribute Number107 numeric
@attribute Number108 numeric
@attribute Number109 numeric
@attribute Number110 numeric
@attribute Number111 numeric
@attribute Number112 numeric
@attribute Number113 numeric
@attribute Number114 numeric
@attribute Number115 numeric
@attribute Number116 numeric
@attribute Number117 numeric
@attribute Number118 numeric
@attribute Number119 numeric
@attribute Number120 numeric
@attribute Number121 numeric
@attribute Number122 numeric
@attribute Number123 numeric
@attribute Number124 numeric
@attribute Number125 numeric
@attribute Number126 numeric
@attribute Number127 numeric
@attribute Number128 numeric
@attribute Number129 numeric
@attribute Number130 numeric
@attribute Number131 numeric
@attribute Number132 numeric
@attribute Number133 numeric
@attribute Number134 numeric
@attribute Number135 numeric
@attribute Number136 numeric
@attribute Number137 numeric
@attribute Number138 numeric
@attribute Number139 numeric
@attribute Number140 numeric
@attribute Number141 numeric
@attribute Number142 numeric
@attribute Number143 numeric
@attribute Number144 numeric
@attribute Number145 numeric
@attribute Number146 numeric
@attribute Number147 numeric
@attribute Number148 numeric
@attribute Number149 numeric
@attribute Number150 numeric
@attribute Number151 numeric
@attribute Number152 numeric
@attribute Number153 numeric
@attribute Number154 numeric
@attribute Number155 numeric
@attribute Number156 numeric
@attribute Number157 numeric
@attribute Number158 numeric
@attribute Number159 numeric
@attribute Number160 numeric
@attribute class numeric
@data
-0.09836061,-0.7010975,-0.15197068,-0.46101207,-0.24339102,-0.24506897,0.088747144,-0.46043703,-0.34879276,-0.30227740000000003,0.08541228599999999,-0.40308255,-0.0033797093,-0.39175934,0.41968283,0.19937405,-0.36722094,0.054264765,-0.5552047,0.3276292,-0.32309937,0.019175291,-0.40592408,0.13997468,-0.44093654,0.19022393,0.047863632,0.09021968400000001,0.14923483,-0.21164435,-0.68045455,0.21880405,0.28051123,0.015015486000000001,0.06596085,-0.07151322,-0.14556606,0.45916978,0.34158096,0.19208817,-0.32367656,-0.106110334,0.55292064,-0.058148988,0.17709619,-0.53384393,0.24829915,-0.19121543,-0.43180656,0.58666146,-0.14259754,0.005231199000000001,-0.22224458,-0.15144417,0.19625227,0.29442826,-0.22103678,0.07145355,0.37586585,0.27650607,0.426825,0.5901854000000001,0.07694648,-0.53079164,-0.08561077,0.23297384,-0.053131394000000005,0.477605,-0.4216263,-0.118631005,-0.7103976,0.54789203,0.55628085,0.16304470000000001,0.69238114,0.12807462,-0.38084470000000004,-0.22677359,-0.501025,0.14094503,-0.3288687,-0.6010492,-0.22346674,0.11651441,0.45855775,0.42965183,0.07752913,-0.36325714,-0.9085769,-0.10797484,-0.2457556,0.4018252,-0.6235196,-0.11787267,-0.06949742,-0.22336197,-0.010391303000000001,-0.68478614,-0.19214325,-0.7345596,-0.33398542,0.6245997,-1.8457782999999999,-0.08511419999999999,-0.061959177000000004,-0.082869135,0.17552634,-0.53121877,-0.38202020000000003,-0.3844499,-0.08436648,0.2339507,0.15847112,0.51236576,-0.58720535,0.43886435,0.4521603,0.10595805,0.69420344,-0.23354037,0.81217974,0.81435984,-0.4591929,-0.3103046,0.088677466,-0.11440542,-0.94518566,-0.9438034,-0.63952583,-0.8596171,2.1957226000000003,0.005931466,-0.94048244,-0.6068695,-1.0425029000000001,0.7797093,0.031425413,0.42123586,-0.87167865,0.6886104999999999,0.11541969,0.23400089,1.0506393,-0.46946874,-1.156079,0.16777936,-0.5909678,0.48250028,-1.1387633,0.112499766,-0.31803837,0.08669464,0.31034192,-1.2517517,0.35154966,0.25476828,-0.020880472,-0.07492106,0.2739032,0.12923682,0
-0.22096635,-0.022331502000000003,0.4362992,-0.25528568,-0.12855,0.24678735,0.11039542,0.5164291,0.04915623400000001,-0.39844504,-0.42610842,-0.29543802,-0.20264626,0.5212471,-0.1925441,0.333466,-0.19256268,0.08520462,-0.24940233,-0.08397961400000001,-0.024607979,-0.060446262,-0.05162332,0.07323141,0.1386636,-0.010894148000000001,-0.011540553,0.17992437,0.64621514,-0.26333573,0.15847120000000003,-0.058789045,-0.32550701,-0.17971528,0.43859670000000006,0.04213057,0.18260199,-0.4280090999999999,-0.65072584,0.6051089,0.34090823,0.79001254,-0.33027235,-0.17453773,0.23052919,0.20015109,-0.30303746,-0.49714884,0.2053415,0.59320724,0.4945625,0.314817,0.14405304,-0.33954167,-0.6522011,0.5281471,-0.36156926,0.19195789,-0.39004382,0.28854558,0.7876164999999999,0.14418568,0.16078158,0.20875552,0.382348,0.4207212,-0.26237383,0.007816982,-0.40457997,-0.15058419,-0.58297384,-0.053114932000000004,-0.16094647,0.31930935,0.13473038,0.06859515599999999,0.018948903,-0.15118217,-0.5128627,-0.012044471000000001,-0.7139713000000001,-0.37682897,0.003753575,0.28093234,0.38170782,0.06005605,0.8123385999999999,1.2810556,0.27724355,-0.19075702,-0.6288965999999999,-0.13810445,-0.24320643,-0.05011730599999999,-0.1886195,0.8749014,0.00178375,0.04325156,-0.48154435,0.056847367,-0.43501437,-0.83502746,-0.57075995,0.4576797,0.017060429,0.7403156999999999,0.4106879,0.7538514000000001,-0.6732389,-0.32879648,-0.17532687,0.069499075,-1.0538868000000001,-0.58875513,0.14390369,-0.4980231,-0.52152795,-0.4899983,-0.43712518,-0.88068813,-0.44709899999999997,0.0820055,0.14429195,-0.41523649999999995,-0.35816982,0.21385124,0.3887532,-0.8431974,0.7851104,-0.48225912,-0.5255343000000001,-0.76989985,-0.5950178,0.038094852,0.059158202,0.5131688,0.44962640000000004,-0.6331044,-0.16249363,0.49817368,0.4197393,-0.24699911,-0.12938966,-0.4274281,-1.1542593,-0.40397036,-0.45973563,1.0251755,-0.71667403,-0.04078835,-0.8813634,0.24786946,0.6947064000000001,0.7035661999999999,0.40298998,-0.2935962,0.7549829,0.45095253,1.2034339,0.49162698,0
-0.46553215,0.06554005,-0.13889849,-0.64001983,-0.05350783,0.41460276,-0.41058356,0.21942428,-0.121917054,-0.5586186,-0.33472288,-0.44992667,-0.2987577,-0.68754977,0.56744766,0.06301965,0.03175561,0.0461845,-0.09813764,0.07223706,-0.85456246,0.5398668000000001,-0.71556914,-0.036560382999999995,-0.062833056,0.5382529,0.23436698,0.28385887,0.3735702,-0.30379495,0.025976047000000002,0.41617313,-0.93395287,0.091815665,-0.3114098,0.76256216,0.476054,0.119826056,-0.22634263,-0.24443649999999997,-0.5701275,0.69462657,-0.08571641,-0.01943701,0.08111525,0.60180324,-0.30481246,0.45808540000000003,0.13824596,-0.05618266400000001,-0.54010546,-0.78617436,0.32260359999999993,0.10426497,0.17171364,-0.36737168,0.22954541,1.068872,-0.18927729,-0.23539574,0.29908985,-0.30162185,0.03671018,-0.24465671,-0.33854392,-0.3616676,-1.1438648,0.6438670999999999,0.48252302,-0.52800554,-0.65741074,0.21623333,0.5097010999999999,-0.18869139,0.44258425,-0.27341044,-0.18796161,-0.26186815,-0.22099146,0.07201531,-0.89632046,-0.46147429999999995,0.91954494,0.8516785,-0.21462494,-0.25174810000000003,0.95763505,0.99113786,0.17647979,-0.21445076,0.12429367,0.42106930000000004,0.34025782,-0.47594982,0.7837545,0.15944692,-0.48267730000000003,0.71603227,-0.86656433,0.4249862,-1.1124598999999997,0.25016212,-0.0051935359999999995,-0.37364316,-0.8272991,0.452215,-0.089374274,0.8665190999999999,-0.81606126,-0.4048907,-0.5917033,0.2994039,-0.6138107,0.043054502,0.3143232,0.59055454,0.080290355,0.40519607,-0.23777983,0.47705427,0.12251432,0.34944759999999997,0.120759144,0.29084364,-0.48338684,-0.065546185,0.54543006,-0.72284484,-0.49010068,-0.29892993,-0.97451985,0.9113609,-0.3393394,0.44289175,0.15522265,-0.2109647,-0.33452713,-0.49355564,-1.0043349,0.26602829,0.5111133,-0.020676161999999998,-0.56507987,-1.3675183000000002,-0.23739986,-0.07336583,-0.35105929999999996,-0.13813621,-1.0223298,-0.52490366,-0.6842041,0.67747384,0.7609071999999999,-0.32969338,1.1911448,-0.28544077,-0.1098579,0.37380144,0.39088264,0.3146625,0
0.051855523,-0.35444343,-0.33216906,-0.23061787,-0.25027883,-0.24270347,0.23400493,-0.04744984,-0.41342650000000003,-0.50369436,-0.11882511,-0.6389669,0.054898302999999996,-0.37687093,0.47314382,0.12617983,-0.18234229,0.19436312,-0.36931688,0.17423803,0.16948378,-0.40668459999999995,-0.5634680999999999,0.17889786,-0.6104089,0.28139028,-0.12329594,0.14803945,-0.187827,-0.38955003,-0.75905377,-0.18758348,0.36766479999999996,-0.09171202,-8.784358e-05,-0.32896477,-0.31349325,0.47293183,0.4267735,0.052639912999999997,-0.13846576,0.096720055,0.29949054,-0.09558546,0.25966594,-0.82971215,0.17619215,-0.13527189,-0.6695963,0.5743984999999999,0.10798302,-0.11110550000000001,0.087805584,0.15380023,0.24195570000000002,0.05972816400000001,-0.13775156,-0.10602703,0.49025673,0.20438007,0.58880574,0.39067674,0.24340050000000002,-0.26112023,-0.24519104,0.16705857,-0.042882614000000006,0.38432974,-0.34268683,-0.17793538,-0.661205,0.39259234,0.41912648,-0.018491408,0.74199915,-0.09029717,-0.30299488,-0.2904481,-0.42788875,0.31112670000000003,-0.9394,-0.15052298,0.1442624,0.38786277,-0.58414435,0.53645104,1.1232983,0.83631116,0.35534492,0.86914825,-1.0270271999999998,0.53088176,-1.736604,-0.41349867,0.33059140000000004,0.28529699999999997,0.5541906999999999,-0.395175,0.13063881,-0.38242778,0.24203761,0.43642420000000004,-0.1702026,-0.08671879,0.33828667,0.60275364,-0.77891666,0.5043942,1.4997798999999998,-1.0589128,-0.35399780000000003,-0.62936646,0.34911537,-0.43649584,0.19444814,0.33526155,0.8210987,-1.1555563999999998,0.13936515,0.25991517,-0.35162935,-0.58753693,-0.631696,0.34310874,-0.4929081,-0.12865335,0.828039,0.9152898000000002,-0.17686206,0.25379372,0.5869966,0.41911817,-0.20513801,0.52555937,0.12073242,0.9748629999999999,-0.3645983,0.20286039,-0.23761986,0.15999097,0.66494954,-0.66216666,0.024621679,-1.2940139,-0.05904209999999999,0.5653366,-0.41811982,1.4617301,-0.26962546,-0.0048257503999999994,-0.18178488,-1.1438973,1.4230983,0.28788012,1.1673402,-0.70643747,-1.4281805,0.44515684,0.2949731,-0.7776934,0
-0.13019212,-0.31332713,0.36132800000000004,-0.32668415,-0.1357958,0.16909839,0.04970856,0.63468117,-0.08854985,-0.32429600000000003,-0.46073008,-0.064982414,-0.17477018,0.45386340000000003,0.15568317,0.32334027,-0.57645625,-0.07441839,-0.05158757,-0.34296638,-0.18405564,-0.0051442813,0.12292312,0.13637462,-0.05645263,-0.22857638,-0.19128203,0.037063144,0.8020641,-0.31983232,0.30162016,-0.15373947,-0.35332766,-0.06554598,0.2732933,0.015278525,-0.19477595,-0.14952305,-0.41543505,0.39698142,0.48651007,0.76127404,0.008450878,-0.3563584,0.08776366,0.11154079,-0.16006427,-0.26472077,0.2315303,0.5594266999999999,0.35606143,0.47460845,-0.08563242,-0.24151632,-0.38407546,0.7461728,-0.049982805,0.21029517,-0.13804567,0.089893445,0.6470385999999999,0.14593378,0.008947189,0.30047435,0.08072929,0.49708316,-0.50548536,-0.15563025,-0.12891991,0.10796867,-0.5710139,-0.1754291,-0.24315344,0.31289607,0.37672797,0.15232344,-0.0629294,0.007669248,-0.5323975000000001,-0.01954042,0.26807496,0.28514913,-0.49006869999999997,0.27781063,0.49609214,-0.032181796,0.5521614,0.20174673,0.07797225599999999,-0.55344665,0.05731592,0.10439901,0.015628587,0.020899033,0.66526926,0.7315456,-0.07805908,0.18612505,-0.6139759,-0.042309745999999995,-0.27038774,0.097490005,-0.25392255,-0.05364352,0.22417875,0.25779015,-0.6437016,0.58005214,0.19029313,-0.08783661,-0.39242187,0.5116987000000001,-0.31380627,0.025989987000000003,-0.09312487400000001,-0.11446664,0.098477766,0.32746446,0.20104866,0.26320025,-0.18498407,0.07285943,-0.047569732999999996,0.05072785,-0.024989257999999997,-0.35469753,0.3993085,-0.28802259999999996,-0.19996825,0.33400926,-0.06498303,-0.18128213,0.12812603,0.023261387,-0.39584187,0.50723803,-0.08341975,-0.27103746,0.08839525,0.0034234156,0.22132611,-0.32053652,0.24805123,-0.16611558,-0.12231289,0.35566854,-0.40295005,0.041734867,0.18130565,0.19664788,-0.101568416,0.577058,0.32189888,0.35411683,-0.13741468,0.061572164000000006,-0.36618966,0.4787058,-0.10850034,0.40708658,0
-0.12092344,-0.41568902,-0.43478888,-0.43335724,-0.022917323,-0.30634484,0.026169201,-0.3290047,-0.6788457,-0.221538,-0.45409948,-0.19126575,0.30568868,-0.5555654999999999,0.31939435,-0.06385729,-0.30862343,-0.040089685,-0.46175,0.36254109999999995,-0.059606932,-0.29361483,-0.39103540000000003,-0.008966345,-0.42720315,0.3939768,-0.17209247,-0.06339208,-0.037609473,-0.22585514,-0.8674124,0.049687747000000004,0.28036386,-0.08927045,0.22294037,-0.2106143,-0.32258147,0.08376527,0.7397584,0.29628074,0.022422948999999998,0.21523530000000002,0.09490335,0.09298961,0.17391983,-0.6506433,0.19843064,-0.08334458,-0.59141964,0.7539001000000001,-0.016164137,-0.0006613303,-0.16118543,-0.2297661,0.29277129999999996,0.33387506,-0.21866517,-0.052557413,0.41499709999999995,0.26294175,0.4503955,0.38505173,0.36017612,-0.39130363,-0.067962185,0.08712965,-0.014734031000000002,0.4021632,-0.27103645,-0.028550968,-0.6711423000000001,0.42175870000000004,0.31652924,-0.05452593,0.6291022,-0.21294525,-0.12735137,-0.29881690000000005,-0.5280543000000001,0.0707271,-0.18484654,-0.35813007,-0.34039986,-0.47696957,-0.117484465,-0.24242467,0.17643239,-0.1513293,-0.33025679999999996,-0.40364474,0.023374995,-0.3296804,0.045998402,-0.46297485,0.35502790000000006,0.09737777,-0.30502203,0.20452112,-0.27070406,0.26806897,-0.27040148,-0.20454234,-0.33642283,0.12134977,-0.5365422,0.29019544,-0.027783595,0.23121642,0.01567944,-0.20612551,-0.65443504,-0.015657471000000003,0.21018478,-0.29637456,0.101621255,-0.34813207,-0.106633335,0.23592022,0.40506893,0.08080953,-0.09806722400000001,-0.03824009,0.21381460000000002,-0.063306645,0.18683638,-0.5174197,0.23485972,-0.10591384,-0.5044651,0.742466,-0.009968121,-0.0042863777,-0.13896224,0.0033621072999999997,0.20089918,0.10386300000000001,-0.07060973,-0.06272309,0.3534773,0.23084392,0.28531873,0.38045916,0.13118114,-0.4680723,-0.13048917,0.1628895,-0.101130076,0.17534620000000004,-0.37604540000000003,-0.11411331,-0.57636106,0.40044555,0.2898263,0.08701303,0.6021886,-0.045471054000000004,-0.41402093,-0.025221043999999998,-0.43275493,0.18770126,1
-0.4819463,-0.48917902,0.28868684,-0.1228337,0.56871116,0.21169567,-0.39096013,0.38712662,-0.17534423,-0.13717127,-0.31480384,0.47132152,-0.025195658,-0.16618712,-0.62037003,0.36251712,-0.19258502,0.49047226,-0.77809286,-0.41992298,0.045239046,0.019714547,-0.16248544,0.7257734,-0.5261719,0.056318223,-0.28484187,0.15266462,0.29460716,-0.16864343,-0.25713542,-0.40491018,0.07244073599999999,-0.048289645,0.11627269999999999,-0.36768049999999997,-0.23732518,0.51163447,-0.24509981,0.35877562,0.101602286,-0.038352847,-0.12201252,-0.08356346,-0.47455853,-0.89659643,0.58757854,-0.3262512,0.10085751,-0.25863835,-0.24717484,-0.31607443,-0.31119450000000004,0.026226329,0.49882734,-0.09656279,0.153293,-0.868951,-0.48937659999999994,-0.21153727,0.9772339,-0.8224109000000001,0.09419225,0.13169315,-0.5240527,-0.19078349,-0.57406634,0.29756382,0.0053199245999999995,-0.015142302,-0.50905967,0.7018003,0.9384370000000001,-0.18382096,0.20741260000000003,-0.58545035,-0.46923092,0.039560422000000005,-0.2963963,-0.17627496,-0.50509536,-0.10513949,0.28391279999999997,-0.119012855,0.41756943,0.07866252,-0.48671709999999996,0.3501909,-0.26711607,-0.28228933,-0.20083049,0.37357209999999996,-0.17294072,-0.19908068,-0.28120159999999994,0.4367334,-0.053075284,0.57328224,-0.61994433,-0.37900287,0.20023222,-0.0061115124,-0.092862844,0.5789484,-0.29740527,-0.022431055,-0.34629990000000005,0.14047259,0.3624937,-0.29693568,-0.20464666,-0.17497234,-0.007617115,0.12227596,0.23535068,-0.51866513,-0.23927067,0.45111138,-0.13665873,0.2764998,0.14396335,0.0873249,-0.10917971,-0.11254523,-0.18075329,-0.46895206,0.44159544,-0.29753205,0.07618395,-0.30528206,0.015838047,-0.27762902,-0.06321429,-0.22037877,0.15149456,-0.09357469,0.13768071,-0.7105385000000001,-0.37401262,-0.27169427,0.87538654,-0.74260575,0.09367786,-0.008268536,-0.4078226,-0.21361762,-0.27271205,0.04839766400000001,-0.093675256,0.013159328999999999,-0.59494716,0.7716856,0.6080305,-0.19082281,0.30671594,-0.6085706,-0.46339267,-0.13531537,-0.3947986,-0.29939014,1
-0.8452156,-0.07820008,-0.14364626,-0.726305,0.68981844,0.29145279999999996,0.5993815,0.84103054,-0.09532232,-0.44024566,0.11275386,0.08778538,0.051648397,-0.31088635,-0.34221876,0.46416850000000004,-0.29969501,-0.043244227999999996,0.23551893,-0.6815934,-0.09730368,0.2812841,0.26086750000000003,0.18609555,-0.23504145,-0.18998738,-0.23612316,0.18476817,0.6209541000000001,0.2517706,-0.67398226,0.10428769,0.086870246,0.4171428,-0.25265709999999997,0.13489993,0.054337434000000004,0.32438406,0.05626158,0.24128427,0.08487982,-0.17299047,-1.0256133,0.98162407,0.27369738,-0.17169522,0.4988579000000001,-0.145124,0.48068023,0.5910405,0.016277757,0.3451648,-0.354286,0.70959824,0.71104,-0.22762398,-0.025903031,0.08148036,-0.20853722,-0.3798126,0.5576607,0.27325863,0.07206044,0.45867070000000004,0.0057727587,-0.09437838,-0.8508167999999999,-0.45533475,-0.41284195,-0.32802570000000003,-0.32949570000000006,-0.17041622,0.30274463,-0.048108347,-0.4599170999999999,0.4443798,0.22314683,-0.32554358,0.6977238,0.37073687,-0.029643886,-1.0993687,0.60576093,-0.46380946,-0.06188267,-1.0567251,1.3253853,0.8755231,-0.017530737,-0.50315595,-0.66106695,0.36937952,1.1064322,0.05291209400000001,-0.4955343,-0.497355,-0.865864,0.09880001,-1.2472146000000002,-0.06628691,0.012583519,0.098105706,0.74142164,0.49840412,-0.043293614,0.6264430999999999,-0.67883646,-0.45404598,0.17197074,-0.69172937,-0.3853474,1.321974,0.9585005999999999,0.9441792999999999,-0.5489575,-0.2682806,0.6420292,0.527817,-0.7190719,1.0952896,-0.60708797,1.0160978,0.8561319,-0.60302126,0.8198996999999999,0.95830566,0.45712626,0.19371429999999998,0.15783943,0.24066176,-0.23851565,0.2848597,0.6486376,-0.33754850000000003,-1.7658697,0.06003746,0.35963905,-0.5071182,-0.031459167999999996,0.56826913,1.0484319,0.15635493,0.28368908,-0.23563208,1.316275,0.5859327,-0.2528079,1.2085191000000002,-0.5160988000000001,-0.04396772,-0.99966323,-0.67947215,1.2108792,0.4009614,1.2282349,-0.17474347,-1.1050696000000002,0.12888479,0.49739707,-0.22267921,0
-0.33142313,-0.6142236,-0.66853136,-0.48893240000000004,-0.19928236,-0.42065933,0.32733616,-0.23727529,-0.12792575,-0.31173834,-0.36877078,-0.3016442,-0.18518506,-0.59253937,0.33506578,0.15094142,-0.28399068,0.108429335,-0.45540848,0.069030575,-0.20924604,-0.27591446,-0.20688853,0.025396725,-0.67759705,0.34868947,-0.020896278,0.29173347,-0.056349567999999996,-0.34501073,-0.5811685999999999,0.07082078,0.30466247,-0.13670434,0.21348287,-0.46663928,-0.21238083,0.3740191,0.5353291,0.081756175,-0.34189293,-0.10218714,0.31850734,-0.13099712,0.5052685,-0.49510083,0.034174737000000004,0.05277734,-0.5595111999999999,0.495771,0.028130574,-0.05302237,-0.21264486,-0.03209381,0.15269825,0.2053295,-0.09959302,-0.25466266,0.17797033,0.45689824,0.27799335,0.28375387,0.32742432,-0.48119867,-0.1826184,0.13007297,-0.07886943,0.23783141,-0.22958608,-0.34718555,-0.7138061,0.24175553,0.30406943,0.17717628,0.46865684,-0.13364148,-0.30649114,-0.14035125,-0.39140642,0.60509807,-0.18484654,-0.35813007,-0.34039986,-0.47696957,-0.117484465,-0.24242467,0.17643239,-0.1513293,-0.33025679999999996,-0.40364474,0.023374995,-0.3296804,0.045998402,-0.46297485,0.35502790000000006,0.09737777,-0.30502203,0.20452112,-0.27070406,0.26806897,-0.27040148,-0.20454234,-0.33642283,0.12134977,-0.5365422,0.29019544,-0.027783595,0.23121642,0.01567944,-0.20612551,-0.65443504,-0.015657471000000003,0.21018478,-0.29637456,0.101621255,-0.34813207,-0.106633335,0.23592022,0.40506893,0.08080953,-0.09806722400000001,-0.03824009,0.21381460000000002,-0.063306645,0.18683638,-0.5174197,0.23485972,-0.10591384,-0.5044651,0.742466,-0.009968121,-0.0042863777,-0.13896224,0.0033621072999999997,0.20089918,0.10386300000000001,-0.07060973,-0.06272309,0.3534773,0.23084392,0.28531873,0.38045916,0.13118114,-0.4680723,-0.13048917,0.1628895,-0.101130076,0.17534620000000004,-0.37604540000000003,-0.11411331,-0.57636106,0.40044555,0.2898263,0.08701303,0.6021886,-0.045471054000000004,-0.41402093,-0.025221043999999998,-0.43275493,0.18770126,1
0.6212325,0.41985488,0.47195202,-0.7755274000000001,0.24647033,-0.0673488,0.75744754,0.314884,-0.120910615,-0.6019563,-0.03806105,-0.28863257,-0.12202468,0.043252557999999997,-0.20526129,0.40385497,-0.28942665,-0.22136235,-0.38289586,0.4088925,-0.54934776,1.3649688999999998,-0.49058184,0.37244344,-0.3562933,0.31429395,-0.056511603,0.66230214,0.37228042,-0.6904942,-0.24642022,0.34614307,-0.37389964,-0.3871463,0.02153639,0.7680176999999999,-0.3076605,-0.3780786,0.87591654,0.29401708,-0.12626784,0.59108686,-0.12571312,-0.47540829999999995,-0.05050037,-0.015225526999999999,-0.024371728,-0.47614443,-0.016423443,0.15324086,0.07821812,-0.026033966000000002,0.048312377000000004,0.4311442,0.23005421,0.10674694,0.6061393,-0.31147182,0.43088406,0.21862558,-0.22365823,-0.62253106,0.21866803,0.14902765,-0.24072687,-0.7651533,-0.392498,0.3659363,-0.026336491,0.42191717,-0.7608683,-0.3065938,0.4224733,0.55781543,0.5058165,-0.08587573,-0.68395716,-0.26095858,-0.42000204,-0.02964117,-0.04132262,-0.17903833,0.006831154,0.024503773,-0.0061344616,-0.26401258,0.46797958,0.08774585,-0.14841908,-0.045523565,-0.19180986,-0.40972623,-0.07816144,0.41485816,0.006025116,0.2052284,0.3995804,0.12242988,-0.51277673,-0.37161356,0.21488269,0.2339041,0.030041497,1.0995089,0.24748279,0.058298065999999996,-0.4348502,-0.24978732,0.26641825,-0.055320285,0.091270335,0.28430414,-0.10048337,-0.25029436,-0.13758348,0.3142992,-0.43044397,-0.26068389999999997,-0.13591608,0.49027303,0.17386791,-0.037513208,-0.2682751,0.515881,-0.21234694,-0.17268665,-0.21111545,-0.04201712,0.5076695,0.2685088,-0.22909378,-0.22550005,-0.3435917,-0.119548306,0.028677091000000002,-0.38842434,-0.46456417,0.40567955,-0.40759087,0.21609917,-0.29724666,0.2682633,0.5139441,-0.43967634,-0.17275327,0.2634818,0.2734008,-0.20697413,-0.080049396,-0.13158034,-0.53841573,-0.32938153,0.019642506,-0.26906076,0.18063797,-0.12356081599999999,-0.26570135,0.33971766,0.09195532,0.007586765,0
