Number1,Number2,Number3,Number4,Number5,Number6,Number7,Number8,Number9,Number10,Number11,Number12,Number13,Number14,Number15,Number16,Number17,Number18,Number19,Number20,Number21,Number22,Number23,Number24,Number25,Number26,Number27,Number28,Number29,Number30,Number31,Number32,Number33,Number34,Number35,Number36,Number37,Number38,Number39,Number40,Number41,Number42,Number43,Number44,Number45,Number46,Number47,Number48,Number49,Number50,Number51,Number52,Number53,Number54,Number55,Number56,Number57,Number58,Number59,Number60,Number61,Number62,Number63,Number64,Number65,Number66,Number67,Number68,Number69,Number70,Number71,Number72,Number73,Number74,Number75,Number76,Number77,Number78,Number79,Number80,Number81,Number82,Number83,Number84,Number85,Number86,Number87,Number88,Number89,Number90,Number91,Number92,Number93,Number94,Number95,Number96,Number97,Number98,Number99,Number100,class
0.10219647,-0.27800929999999996,0.29868504,-0.4035216,0.8618318000000001,-1.1856513000000002,0.13365681,-0.15316272,0.19193783,0.41116777,-0.076115616,0.03323006,0.10518058,0.046917535,0.044631504,-0.23527344,0.5803307,0.3621724,0.43315104,-0.13352889,-0.047127023,0.22065955,0.046308253,0.09156447,0.6276826,-0.3267915,0.31089556,-0.17234634,-0.8613561,-0.3499759,-0.1165393,0.7125728,-0.43427396,0.270337,0.11882868,0.32139483,0.084314905,-0.45602444,-0.09864604,0.49979192,-0.28879553,-0.68692833,-0.023112357000000004,0.12367247,-0.56067216,-0.3136857,0.16846806,0.021089702999999998,-0.47812462,-0.6409776999999999,0.32056648,-0.63224316,-0.00084830425,-0.43852640000000004,0.53434753,-1.3817198,1.5571858,-0.1610287,-0.14779317,-0.44944945,0.9803244000000001,-0.5779228,-0.49979404,0.42424995,1.1771091999999999,0.8654875,-0.29520359999999995,0.8783375,0.34390703,0.7603135999999999,-0.22572152,-0.93861073,-0.61876667,-0.60775906,-0.11580129,-1.674654,0.9770689,0.7554031999999999,0.5845628,-0.15528789,0.5552054,-0.3790134,-0.5322307,0.44165263,1.0493008,0.29437220000000003,0.45386603,0.5351435,0.19366013,-0.11013426,-1.4823409,-1.4612663000000001,0.15305847,1.1623284999999999,0.48985994,0.930212,0.18401226,-0.5066271999999999,0.76576346,-0.25449342,0
0.43055429999999995,-0.69465804,-0.07868176,-0.16779667,-0.25774536,0.45667392,0.16177805,-0.18502505,-0.15660974,0.6467225000000001,-0.52900237,-0.48438367,0.009264352,0.20865434,-0.29869804,-0.48359072,0.28544334,-0.08555481,0.46816647,-0.56,-0.16241373,-0.056217916,-0.00017936947,-0.4046385,-0.28233509999999995,-0.5211247999999999,0.44257352,-0.1009992,0.19049445,-0.6877055000000001,0.0135449525,-0.21019395,-0.39052194,0.29646856,0.38020298,0.36980033,-1.0531278999999998,0.2556815,0.53390557,0.6693803,-0.7722029,0.036951385,0.058986664,-0.21163289,-0.32461706,0.2646676,-0.42916049999999994,-0.08408687,-0.24953535,-0.054785226,-0.25483984,-1.220853,-0.8427841999999999,0.018583216,0.7707584,0.026966669,-0.90781087,1.0772457,0.32738897,0.4733954000000001,1.2978361999999999,0.6020111,-1.1704423000000002,1.6783742,0.09848541,-0.37831926,-0.2005966,-0.49126247,-0.15311729999999998,0.06525437,0.53784853,0.47166067,-0.7609307,0.20353523,0.56931925,-0.60485476,-1.0894445,-0.54057986,-0.15576869,0.12523957,0.11887365,0.078908965,-0.92779714,-0.6644886,0.5169719,0.6673177,-0.63321406,-0.34733522,-0.5900884,0.5902965,-0.078602836,-1.178695,0.25902003,-0.26079765,-0.30877832,0.54773253,-0.07088022,0.23134743,-0.09492106,0.8339327,0
0.34777886,-0.93114996,-0.5562803000000001,-0.43843776,0.70879924,-0.17923607,-0.22364984,0.5279976,0.28379792,0.9365216999999999,0.5558171,0.19438891,-0.13397968,-0.5960848000000001,0.55017626,-1.0512583,0.13920017,-0.45479357,-0.35069144,0.30779895,-0.03974307,-0.09980832,-1.2494273999999999,-0.83498174,-0.09298702,-0.42551523,0.12665723,0.4339054,-0.44415024,-0.29999548,-0.21817046,0.55925703,-0.11370528,-0.08905176,0.017508915,0.56983894,-0.10878035,0.0024321810000000003,-0.9084323000000001,-0.053784713,-0.6163609,-0.027659819,0.11185872,0.45193679999999997,0.40077454,-0.45857662,0.52658725,0.036518525,0.58721244,-1.0081125,0.35916364,-0.32669982,-0.7096103,0.4155997,0.9396805,-0.62436724,-1.1980264999999999,0.10399482,-0.5043531,0.05233833,-0.5030744,0.37755063,-0.89470774,0.78664076,0.1736613,-0.25092539999999997,-1.0975105,-0.47723663,0.81819713,0.5215649,0.7352371999999999,-0.17984109,-0.5440248000000001,-0.03985591,0.37303135,-1.3476892,-0.25171614,-0.5631085,0.29258627,-1.2575228,0.28515949999999995,1.1622581,-1.2314165000000001,-1.0104245,0.33788595,0.042809165999999996,-0.81385773,-0.38271752,0.47718978,0.9935196,0.5358231999999999,-0.7241787,0.25054207,-0.1911773,-0.6413055999999999,-0.34034184,1.2633709,0.6716065999999999,-0.2570636,-0.94896334,0
-0.07297603,-0.22119735,0.34586534,-0.31790558,0.58726776,-1.1493058,0.24426710000000001,-0.18681279,0.4012406,0.25737223,-0.14194304,-0.20926958,0.22731815,0.061715572999999996,-0.08001012,-0.27896327,0.35291308,0.42986769999999996,0.34922045,-0.27567267,0.11444139,-0.042725407,-0.06633175,-0.22937392,0.85629183,-0.47958022,0.13571341,-0.58575577,-0.7673797,-0.29650540000000003,-0.016563698999999998,0.54337996,-0.42334583,0.19729716,-0.03591231,0.35652658,-0.057591718,-0.26819763,-0.18051255,0.49040288,-0.38609278,-0.5330409,-0.28099367,0.5412938,-0.6811520000000001,0.06580394,0.17276731,0.07523277,-0.33946297,-0.5712921,0.52632606,-0.60724324,-1.1128207,-1.0372484,-0.033513043,0.5966461,-0.5823765999999999,-0.15535851,0.7030957,-1.2886031999999998,-1.7791016,-0.9249540999999999,0.70844305,-0.45705345,-1.5312693000000002,-0.20175722,1.5838113999999999,0.15729627,-0.025919333,2.296389,-0.8133555,-0.14292264,-0.84156984,-0.2473711,0.5990926999999999,-0.44581792,-0.87617517,0.82181877,0.07322734,-0.632275,1.0405518,0.99361444,-0.8523130999999999,-0.30370176,1.0632101,0.16576132,-0.16130708,0.25923324,0.20009558,0.24907506,-0.24238518,-0.9461886,0.52787524,1.0377191,0.048282515,1.5155405,-0.26294209999999996,-1.0310099,-0.7497548,-0.09668634,0
0.7246560999999999,-0.5951015000000001,-0.16773209,-0.10437289599999999,-0.3172711,0.29859063,0.1651664,-0.31606406,-0.19814423,0.65098345,-0.57199913,-0.5165362,-0.10455065,0.27710778,-0.36228140000000003,-0.53833485,0.14460953,-0.07672281,0.3035272,-0.30084452,-0.16811268,-0.10358733,0.08407291,-0.22987800000000003,-0.12460664,-0.54915285,0.27297094,0.013633341499999998,0.34961426,-0.76040405,0.11011875,0.09366761,-0.35373124,0.35884285,0.58455485,0.1387725,-0.74138457,0.26654282,0.5452661,0.2058971,-0.8532848,-0.024891002000000002,0.08441599,-0.11849435,-0.22339948,0.22750083,-0.1891249,-0.21446025,-0.41809353,0.16048865,0.34323916,-0.11360039599999999,-0.16763142,-0.5506259,0.2080612,0.048195638,-0.18352352,-0.18085308,0.71511984,0.14822903,-0.23772125,0.41947192,-0.22043835,0.30843990000000004,-0.404977,0.017818548,0.31227538,0.33329082,0.44254622,0.05607406,-0.72887737,-0.054458785999999995,-0.16565987,-0.3873433,0.6739219,-0.4695103,-0.30304003,-0.013469486999999999,-0.28843520000000006,-0.0650222,0.18454015,0.10333798,-0.40548804,-0.8307856,-0.5483701,0.042376,-0.3191717,-0.6021824,-0.07728297,0.42625827,-0.5708929,-0.12832168,0.0023066506,0.45307136,-0.32736529999999997,-0.41555652,0.29783699999999996,0.4898646,0.36408192,0.08229072,0
-0.05705319999999999,-0.15719,0.49354705,-0.41075870000000003,0.52337474,-0.97066253,0.19462956,-0.092035376,0.15059724,0.39892992,-0.085096955,-0.46953633,0.18039657,0.09005186,-0.15155470000000001,-0.03227259,0.33626259999999997,0.39426085,0.37506294,-0.041637022,0.12430878,0.038570217999999996,-0.018119693,-0.24145070000000002,0.6384818,-0.41121036,0.18165797,-0.5536634,-0.81821734,-0.35999197,-0.12505442,0.47252786,-0.40049407,0.16183731,0.24563865,0.35754046,0.1447839,-0.5786095,-0.016534239,0.5601166,-0.16391656,-0.76238185,-0.0002984029,0.2286159,-0.5256090999999999,0.12242135400000001,0.04183063,0.15216164,-0.19201767,-0.7186581,-0.04047025,-0.1250621,0.25812835,-0.41654462,0.7040688,-0.8785983,0.1809695,-0.18518086,0.10797176,0.44342950000000003,-0.07938015,-0.20666803,0.29109204,0.014668851,0.028291386,-0.26263434,0.3948957,0.2345203,0.3588499,-0.04706622,0.016478556999999998,0.16582775,0.15268292,-0.23125459,0.66063535,-0.5346597,0.032706913,-0.37719718,-0.728795,-0.4315104,-0.054543299999999996,0.4633897,-0.38902602,-0.017233713,0.047942165,0.26689053,0.101154804,-0.61754143,0.0011775775,0.48685366,-0.18541351,-0.594902,-0.09825019,0.21173385,-0.54366696,-0.1394805,0.07463809,0.04637442,-0.27600482,-0.42597815,1
-0.92050886,-0.32232583,-0.18520215,-0.49679209999999996,0.1263826,-0.5572807,-0.28849944,0.17166589999999998,0.16388266,0.42518342,-0.5386227,0.5524880999999999,-0.35943052,0.7005965999999999,-0.6548847,-0.094422735,-0.45000124,0.33671677,0.19777875,0.54506785,-0.23750548,-0.29114163,0.037490286,-0.3402126,0.1307713,-0.14532678,-0.3916739,-0.48085612,-0.5093299,-0.5598628999999999,-0.9717903,0.45346254,-0.41026717,-0.16621248,0.75744396,0.7499136,-0.7384116999999999,0.18577464,-0.6247531,0.32686216,-0.8784912,0.09018956,-0.06533588,0.5859911999999999,0.44468117,0.116636276,0.3471458,0.14320166,-0.90507126,0.5899518,-0.8195611999999999,-0.32138845,0.0132641,-0.41728607,0.15595505,-0.46003760000000005,-0.21864377,0.21329610000000002,0.1642916,0.2682565,-0.54870677,0.22868979,-0.15926544,0.613637,-0.32785094,-0.069817625,-0.24506085,0.22611487,0.2807255,0.397862,-0.22714372,-0.15394779,0.10204147,-0.33369225,-0.03766326,-0.29980242,-0.4516115,-0.2949683,-0.5075725999999999,-0.5530702,-0.7119989000000001,0.44491327,-0.22348373,-0.19801300000000002,0.7261703,0.3859146,-0.8183453,0.23874834,-0.54277974,0.31968147,-0.9265183000000001,0.11378402,-0.02095837,0.47646147,0.41326207,0.11056505,0.46355015,0.142795,-0.693693,0.48828468,1
-0.21129261,0.21909088,0.15563188,-0.33095536,0.29679668,0.7117547,-0.5285291,-0.6195510999999999,-0.8985525,1.0507966999999998,0.02324305,0.2960639,-0.38376933,0.12739651,-0.9632348,-0.058727622,-0.034950886,0.20963867,-0.53556913,0.17615929,-0.061265413,-0.59327585,0.02585113,-0.90254647,-0.4310776,-1.3598629999999998,0.3042588,-0.43832564,-0.97166115,-0.33554116,-0.24407620000000002,-0.599019,0.015571227,0.14794025,0.03883363,0.5069374,0.08941733,-0.033240773,0.5903116999999999,-0.34827062,-0.2253772,-0.5202247,-0.31838402,0.29211926,0.40193720000000005,-0.21957889,0.81992096,-0.27004266,-0.38834208,0.65782684,0.6944585,-0.28512695,-0.55932707,-0.108314246,1.0358529,-0.28668404,-1.0931667999999999,0.1611777,0.6885755,-0.033775408,0.7658107,-0.37638837,0.5863385,-0.76925063,-1.012152,0.5528181999999999,1.0652696000000001,0.22708397,0.94882363,0.13004602,-0.4414026,-0.7962424,-0.96639806,1.1825489,0.29753575,-0.72490263,-0.004538121599999999,0.17337935,0.59883934,-1.3985966,-0.24145156,-0.5689088000000001,-0.36078498,-0.47125969999999995,0.014484261000000002,1.1121707,-0.36482713,-0.37611997,1.3371874,1.4883391000000001,-1.0793966999999998,0.27078205,1.4429594,-0.13296218,-1.9960334,0.38915370000000005,-0.17305331,1.1216873,-2.49737,0.5096702000000001,0
-0.05137767,-0.14479561,0.41205388,-0.4562178,0.72519654,-1.0703477,0.0150627475,0.044484477,0.013303421000000001,0.16579764,0.07742031,-0.40092626,0.27477133,0.1937159,0.06879384,-0.31544122,0.5187303,0.20521598,0.46856982,-0.07072301,0.058334652,0.11491699,0.24839714,-0.33054352,0.88297623,-0.7778725000000001,0.13466747,-0.5982238000000001,-0.6580275999999999,-0.31074634,-0.14919747,0.72801214,-0.41448987,-0.04735328,-0.04215201,0.12533776,0.03525212,-0.8023265,-0.25205266,0.566343,-0.54533094,-0.664276,0.01068719,0.43213645,-0.6416734000000001,-0.04544868,0.14324304,0.05015377,-0.30660114,-0.42855814,-0.04047025,-0.1250621,0.25812835,-0.41654462,0.7040688,-0.8785983,0.1809695,-0.18518086,0.10797176,0.44342950000000003,-0.07938015,-0.20666803,0.29109204,0.014668851,0.028291386,-0.26263434,0.3948957,0.2345203,0.3588499,-0.04706622,0.016478556999999998,0.16582775,0.15268292,-0.23125459,0.66063535,-0.5346597,0.032706913,-0.37719718,-0.728795,-0.4315104,-0.054543299999999996,0.4633897,-0.38902602,-0.017233713,0.047942165,0.26689053,0.101154804,-0.61754143,0.0011775775,0.48685366,-0.18541351,-0.594902,-0.09825019,0.21173385,-0.54366696,-0.1394805,0.07463809,0.04637442,-0.27600482,-0.42597815,1
0.33319378,0.21805742,0.019027373,-0.042284027,-0.1268816,-0.082201265,-0.6033592,-0.27488145,0.27382007,1.085641,-0.36509508,-0.30773085,-0.5419835999999999,0.7877871999999999,0.40441427,-0.7680016,0.73379916,-0.121290386,-0.095004454,0.38085392,-1.1381267,-0.1380887,-0.6756981,0.10220152,0.75386155,0.14554451,-0.06453624,-0.2090784,-0.031353246,-0.78459764,-0.09341685,-0.31952336,-1.3960299999999999,0.03261064,-0.47793263,0.72753996,0.28813484,-0.28781465,-0.3441883,0.98640347,-0.4012521,-0.024276745,-0.11802168,0.20241305,0.21963298,-0.22647882,0.49344686,-0.13263297,-0.2909119,-0.51243347,0.15480295,-0.28505874,0.13083184,0.07956984,0.23116438,0.332946,0.3495841,-0.34137670000000003,-0.54159164,-0.002830011,-0.30322853,0.452431,0.15648638,0.07423295,-0.067388445,-0.22532867,0.15601215,0.40213790000000005,-0.16900921,0.2314971,-0.8188251999999999,-0.32692474,-0.24175157,0.22152673,-0.6026996,-0.17930408,0.09880799,-0.13740115,0.11358462,0.2543281,0.4839859,0.031325717,-0.5562213,0.54963315,-0.058799244,0.2462833,-0.83242995,-0.0778863,-0.34390154,-0.2673888,0.49974537,-0.6158929,0.29384464,0.23973465,-0.47376809999999997,0.3298749,0.45280870000000006,0.7452753000000001,-0.5515526,0.12079904,0
